number;name;stereotype
5;Ancillary Server;subkind
5;Cartography Technician;subkind
5;Occupied Position;role
5;Technical Support;subkind
5;Organization;kind
5;Department;subkind
5;Plant Health Inspector;subkind
5;Server;role
5;Technical Admnistrative Support;phase
6;Actor;category
6;Payment;relator
6;Purchase;relator
6;Sale;relator
6;ProvenanceEvaluation;nonPerceivableQuality
6;RawProduct;kind
6;Production;relator
6;BusinessNeed;kind
6;ConsumerNeed;relator
6;DeclaredProvenance;subkind
6;GeographicIndication;subkind
6;Provider;kind
6;Agent;kind
6;CounterObject;kind
6;EndProduct;kind
6;ValueActivity;category
6;Consumer;kind
6;DeclaredValue;stringNominalStructure
6;Provenance;kind
6;Receipt;relator
6;Policy;kind
6;ValueObject;category
7;Action Draft;kind
7;Strategic choices;category
7;Action Planning;kind
7;Convince;kind
7;Anguish;subkind
7;Peace;subkind
7;Paper And Pencil;kind
7;Greed;kind
7;Aesthetics;kind
7;Bitterness;subkind
7;Fiero;subkind
7;Assymetry;kind
7;Survival_A;kind
7;Flexible strategy;kind
7;Action based;category
7;Enjoyment;kind
7;Distaste;subkind
7;Deck;kind
7;Hopelessness;subkind
7;Forcefull interpretation;kind
7;Dynamics;kind
7;Camping;kind
7;Risky play;kind
7;Deduction;kind
7;Diversion;kind
7;Acquire information;kind
7;Indirect effect;kind
7;Alliance;kind
7;Exasperation;subkind
7;Grouping;kind
7;Abhorrence;subkind
7;Revenge;kind
7;Die Marker;kind
7;Annoyance;subkind
7;Co-operative Play;kind
7;Behaviour;category
7;Fear;kind
7;Role_Playing;kind
7;Betting;kind
7;Pride;subkind
7;Game state change;kind
7;Resource Management;kind
7;Meta-Game;category
7;Colection;kind
7;Rush the game;kind
7;Network Building;kind
7;Dread;subkind
7;Auction;kind
7;Reject objectives;kind
7;Resource extinction;kind
7;Fury;subkind
7;Sorrow;subkind
7;Agressiveness;kind
7;Combo;kind
7;Chit-pull;kind
7;Communication;kind
7;Line Drawing;kind
7;Protectionism;kind
7;Argumentativeness;subkind
7;Identification;kind
7;Tile;kind
7;Safe play;kind
7;Curiosity;kind
7;Schadenfreud;subkind
7;Revulsion;subkind
7;Count resources;kind
7;Amusement;subkind
7;Dice Rolling;kind
7;Secret Unit Depoyment;kind
7;Gamble;kind
7;Aversion;subkind
7;Random Draw;kind
7;Area Movement;kind
7;Player Elimination;kind
7;Partnership;kind
7;All versus one;kind
7;Game Balance;kind
7;Compound Emotions;kind
7;Simultaneous Action Selection;kind
7;One versus all;kind
7;Compassion;subkind
7;Tile Placement;kind
7;Dislike;subkind
7;Mechanics;kind
7;Action Programming;kind
7;Press Your Luck;kind
7;Derived;kind
7;Voting;kind
7;Victory Points;kind
7;Discouragement;subkind
7;Sadness;kind
7;Ecstasy;subkind
7;Frustration;subkind
7;Commodity Speculation;kind
7;Grid Movement;kind
7;Take That;kind
7;Pick-up and Delivery;kind
7;Collecting;kind
7;Action;kind
7;Area Control;kind
7;Self objective;kind
7;Bluffing;kind
7;Intimidate;kind
7;Impulse;kind
7;Small talk;kind
7;Repugnance;subkind
7;Distraughtness;subkind
7;Memory;kind
7;Resource;kind
7;Intention of use;category
7;Vengefulness;subkind
7;Card;kind
7;Acting;kind
7;Competition;kind
7;Reduce options;kind
7;Terror;subkind
7;Component;kind
7;Naches;subkind
7;Sensory Pleasure;subkind
7;Disgust;kind
7;Goal;kind
7;Area Enclosure;kind
7;Anxiety;subkind
7;Excitement;subkind
7;Token;kind
7;Helplessness;subkind
7;Wonder;subkind
7;Variable Phase Order;kind
7;Despair;subkind
7;Blocking;kind
7;Desperation;subkind
7;Trepidation;subkind
7;Nervousness;subkind
7;Rock-Paper-Scizors;kind
7;Movement;kind
7;Misery;subkind
7;Variable Player Powers;kind
7;Game;kind
7;Die;kind
7;Algorithm;kind
7;Grief;subkind
7;Teams;kind
7;Disapointment;subkind
7;Pool Building;kind
7;Joy;subkind
7;Card Draft;kind
7;Survival_D;kind
7;Relief;subkind
7;Stock Holding;kind
7;Action Points;kind
7;Resignation;subkind
7;Draft;kind
7;Loathing;subkind
7;Singing;kind
7;Pattern Recognition;kind
7;Storytelling;kind
7;Panic;subkind
7;Areas;kind
7;Human Shield;kind
7;Modular Board;kind
7;Color Appreciation;kind
7;Time-Track;kind
7;Trading;kind
7;Ruleset;kind
7;Anger;kind
7;Horror;subkind
7;Phase;kind
7;Expression;kind
7;Trick-Taking;kind
7;Point-toPointMovement;kind
7;Pattern;kind
7;Rejoicing;subkind
7;Playing patterns;category
7;Protection;kind
7;Action Card;kind
7;Data Representation;kind
7;Sacrifice;kind
7;Set Colection;kind
7;Pattern Building;kind
8;On an Exchange Stay;phase
8;Seeking for employment;phase
8;In requalification;phase
8;Old Age Pensioner;role
8;Study Interrupted;phase
8;Employee;role
8;Citizen´s Role;viewpoint
8;Offspring;role
8;Bachelor Degree Student;phase
8;Student;role
8;PA Client;kind
8;Master Degree Student;phase
8;Parenthood;relator
8;Doctoral Degree Student;phase
8;Pupil;phase
8;Parent;role
8;Unemployed;phase
8;Enterpreneur;role
8;Company Pensioner;role
8;Secondary School Student;phase
8;Company;subkind
8;Child;phase
8;Employed;phase
8;Citizen;subkind
8;Senior;phase
9;Secular Clergy;collective
9;Cardinal;role
9;College of Cardinals;collective
9;Regular Clergy Member;role
9;Bishop;role
9;Ordination of Deacon;relator
9;Secular Clergy Member;role
9;Ordinator of Bishop;role
9;Ordained Bishop;role
9;Person;kind
9;Clergyman;role
9;Deacon;role
9;Clergy Member;role
9;Regular Clergy;collective
9;Nomination;relator
9;Electorate of the Cadinal School;collective
9;Election;relator
9;Ordinator of Deacon;role
9;Witness of Profession;role
9;Bishop Ordination;relator
9;Clergy;collective
9;Priest;role
9;Layman;role
9;Cardinal Nominator;role
9;Ordinator of Priest;role
9;Ordination of Priest;relator
9;Religious Profession;relator
9;Baptism;relator
9;Pope;role
10;Digital;kind
10;Individual;kind
10;Funds;collective
10;ArchiveManaged;role
10;Principle of Provenance;kind
10;Theory of the Tree Ages;kind
10;Photography;subkind
10;Document;kind
10;Archive;subkind
10;Traditional;kind
10;Principle of Respect for Original Order;kind
10;Collection;collective
10;Operation;relator
10;Archivist;role
10;Organization;kind
10;Document Operated;relator
10;Management;relator
10;Operator;role
12;Endurant;category
12;Trust Degree;quality
12;Belief;category
12;Disposition;category
12;Disposition Belief;subkind
12;Moment;category
12;Trust-Warranting Signal;roleMixin
12;Belief Intensity;quality
12;Mental Moment Influence;subkind
12;Loss Situation;situation
12;Substantial;category
12;Institution-based Trust;subkind
12;Performance Level;quality
12;Aspectual Belief;mode
12;Manifestation Likelihood;quality
12;Trust Calibration Signal;roleMixin
12;Desire;category
12;Capability Belief;role
12;Social Trust;subkind
12;Trustor;roleMixin
12;Agent Trustee;roleMixin
12;Object;category
12;Influence;relator
12;Loss Event;event
12;int;datatype
12;Vulnerability;roleMixin
12;Trustworthiness Evidence;category
12;Intention Belief;subkind
12;Social System;kind
12;Mental Moment;category
12;Threat Event;event
12;Complex Intention;category
12;Hazardous Situation;situation
12;Trustee Action;event
12;Trustworthiness Evidence Influence;subkind
12;Trust influence;subkind
12;Vulnerability Belief;role
12;Perception;category
12;Trustee;roleMixin
12;Social System Trustee;role
12;Intention;category
12;Atomic Intention;category
12;Agent;category
12;Trustor Action;event
12;Capability;roleMixin
12;Trust Calibration Signal Influence;subkind
12;Trust;mode
12;Uncertainty Signal;roleMixin
13;Explained Attribute Key;subkind
13;Accessible Data;role
13;Resource;category
13;Restricted Data Accessibility Requirements;subkind
13;Data Accessibility Requirements;relator
13;Authentication Protocol;subkind
13;Data Item ID;subkind
13;ID;subkind
13;Rich Metadata;role
13;Community Consensus;mode
13;ID Registration;relator
13;Data;collective
13;Rich Metadata Item Attribute;role
13;Attribute Key;kind
13;Reusable Data;role
13;Community;collective
13;Provenance Metadata Item Attribute;subkind
13;Attribute Value;kind
13;Representation Language;kind
13;Searchable Data;role
13;Data Model;kind
13;Data Usage License;relator
13;Data Entity;category
13;Data Access Protocol;subkind
13;Attribute;kind
13;Metadata Item;subkind
13;Open Data;role
13;Ground Data;subkind
13;Protocol;kind
13;Data ID;subkind
13;Self-Explanatory Attribute Key;subkind
13;Provenance Metadata;subkind
13;Data Item;kind
13;Identification Service;kind
13;Data with Restricted Access;role
13;Metadata;subkind
13;Rich Provenance Metadata Item Attribute;role
13;Rich Provenance Metadata;role
13;Metadata Item Attribute;subkind
13;Qualified Attribute Item;category
13;Extrinsic Attribute Value;subkind
13;Intrinsic Attribute Value;subkind
13;Authorization Protocol;subkind
13;Searchable Resource;kind
13;Community Standard;roleMixin
13;Registration/Indexing;relator
14;Point;subkind
14;Line;subkind
14;Property;kind
14;Surface Wind;subkind
14;VIctim;role
14;Sea Surface;kind
14;Material Property;role
14;Spatial Thing;category
14;Severe Weather Events;event
14;Meteorological Parameters;kind
14;Atmospheric Pressure;subkind
14;Weather Forecast Time Point;TimePoint
14;Numerical Weather Prediction Models;kind
14;Air Temperature;kind
14;Polygon;subkind
14;Person;kind
14;Precipitation;subkind
14;Cloudiness;subkind
14;Geographic Coverage;kind
14;National Meteorological Service;kind
14;Temperature;subkind
14;Global Observation System;kind
14;Severe Weather Event Moment;TimePoint
14;Regional Numerical Models;subkind
14;Severe Weather Indicators;situation
14;Weather Forecast;kind
14;Geographic Object;kind
14;Time Interval;kind
14;Relative Humidity;subkind
14;Local Data Manager;role
14;Damage;situation
14;Software Agent;kind
14;Weather Forecaster;role
14;Weather Reports;datatype
14;World Numerical Models;subkind
15;sportActivity;kind
15;university;kind
15;professor;role
15;housingAdPost;kind
15;services;subkind
15;outdoor;subkind
15;universityBoard;relator
15;product;kind
15;postSearch;subkind
15;discountAmount;quantity
15;ownProfileEditing;subkind
15;ownProfileView;subkind
15;productRegularPrice;phase
15;EducationalOrganization;category
15;post;category
15;user;role
15;productDiscount;phase
15;store;kind
15;housePrice;quality
15;postComment;subkind
15;image;kind
15;entertainmentAmentity;subkind
15;house;kind
15;locationCollection;collective
15;food;subkind
15;date;quality
15;phdStudent;role
15;kitchenAmenity;subkind
15;bachelorStudent;role
15;neutralSport;subkind
15;ownProfileInteraction;relator
15;othersProfileInteraction;relator
15;school;subkind
15;houseLocation;subkind
15;sportEvent;kind
15;profileInteractor;role
15;profileEmail;quality
15;indoor;subkind
15;location;kind
15;person;kind
15;pub;subkind
15;label;quality
15;sportOrganizationMember;role
15;postAuthor;role
15;creativeWork;category
15;amenity;kind
15;sportorganizationBoard;relator
15;postInteraction;relator
15;amenitiesCollection;collective
15;profileView;subkind
15;video;kind
15;clothing;subkind
15;bedroomAmentity;subkind
15;profilePicture;quality
15;postCreation;relator
15;organization;category
15;postLabeling;subkind
15;sportOrganization;kind
15;masterStudent;role
15;bathroomAmenity;subkind
15;postInteractor;role
15;winterSport;subkind
15;hospital;subkind
15;profileName;quality
15;postDeletion;subkind
15;profileLearningLanguage;quality
15;ownProfileDetetion;subkind
15;nearbyHouseFacilities;quality
15;event;category
15;audio;kind
15;storeLocation;subkind
15;numberOfRooms;quality
15;teachingAssistant;role
15;postRating;subkind
15;rating;quality
15;discountPost;kind
15;SportActivityPost;kind
15;profileSpokenLanguage;quality
15;eventHostsBoard;relator
15;text;kind
15;profileSearch;subkind
15;postalAddress;quality
15;postEditing;subkind
15;parkArea;subkind
15;profileUserAge;quality
15;sportLocation;kind
15;summerSport;subkind
15;appRegistration;relator
15;houseNumOfOccupants;quality
15;Profile;kind
15;profileMessage;subkind
16;Non-functional Requirement;quality
16;Methods;enumeration
16;Experience Levels;enumeration
16;Architectural styles;enumeration
16;Proficiency Levels;enumeration
16;Quality attribute;quality
16;Person;kind
16;Types;enumeration
16;Program increment;subkind
16;Programming framework;kind
16;Programming environment;kind
16;Programming langauge;kind
16;Membership;relator
16;Quality Levels;enumeration
16;Story;kind
16;Sprint;kind
16;Business Role;role
16;Compiler;kind
16;Software development project;kind
16;Platform;kind
16;Attributes;enumeration
16;Platforms;enumeration
16;int;datatype
16;Program;kind
16;Team;kind
16;Epic;kind
16;Proficiency level;kind
16;Resources;enumeration
16;Roles;enumeration
16;Resource;category
16;Role;kind
16;Importance levels;enumeration
16;Employee;role
16;Requirements;enumeration
17;event;event
17;role_in_biological_event;type
17;regulator;historicalRoleMixin
17;int;datatype
17;process;event
17;string;datatype
17;Entity_in_process;historicalRoleMixin
17;pathway;event
17;output;historicalRoleMixin
17;input;historicalRoleMixin
17;biological_event;event
17;biological_entity;category
17;active_entity;phaseMixin
17;participation_in_biological_event;event
17;degraded_entity;phaseMixin
18;Element_Module;relator
18;Phase;kind
18;Deg_Reg;relator
18;Element;kind
18;SubPhase;role
18;Sub_Phase;relator
18;Regulation;kind
18;VariationReg;role
18;Variant;kind
18;PhaseWithModule;role
18;UpperPhase;role
18;Degree;kind
18;Subject;kind
18;Module_Phase;relator
18;Module;kind
18;Var_Reg;relator
18;DegreeRegulation;role
19;IT Service;kind
19;Process;relator
19;Data Storage;subkind
19;Occurrence;relator
19;Technical Vulnerability;subkind
19;Authorization;subkind
19;Consumer Organization;subkind
19;User;role
19;Event;relator
19;Public Cloud;category
19;Consumer Person;subkind
19;IaaS Environment;kind
19;IT Resource;subkind
19;Certain Event;role
19;Consumer;kind
19;Authentication;subkind
19;Uncertain Event;role
19;Provide Service;relator
19;Hardware;kind
19;Software;kind
19;Vulnerability;kind
19;Contract;relator
19;Threat;kind
19;IT Service Provider;category
19;IT Infrastructure;subkind
19;Access Policy;kind
19;Data Processing;subkind
19;Administrative Vulnerability;subkind
19;IaaS;kind
19;Incident;kind
19;Availability;kind
19;Agreed Function;relator
20;Contribution;relator
20;Composition;relator
20;Keyword;kind
20;FunctionalConcern;subkind
20;NonFunctionalConcern;subkind
20;Source;kind
20;Concern;kind
20;Dependency;relator
20;Relationship;relator
20;SourceType;enumeration
20;ContributionType;enumeration
21;Problem Solution;goal
21;Value Proposition;relator
21;Satisfaction Level;belief
21;Resource;object
21;Intention;intention
21;Control;relator
21;Action;event
21;Recipient;Agent
21;Provider;Agent
21;Value;proposition
21;Capability;disposition
21;Caused State;situation
22;Game;kind
22;Encounter;relator
22;NonPlayerCharacter;kind
22;Adventure;mode
22;Goal;UFO-C
22;State;mode
22;Object;category
22;Consumable;kind
22;Campaign;mode
22;Entity;category
22;Mission;collective
22;DigitalGame;kind
22;Session;collective
22;Match;category
22;Etc;kind
22;Scenario;subkind
22;Player;role
22;Character;kind
22;Planning;category
22;Equipment;kind
22;Action;UFO-C
22;Event;UFO-B
22;Location;kind
23;Jurisdiction Agent;roleMixin
23;Object;mixin
23;Society;kind
23;Social Agent;category
23;Underage;phase
23;Qualified Situation;role
23;Recent Rule;role
23;Jurisdictional State;role
23;Guarantor;role
23;Legal Object;roleMixin
23;State;kind
23;Guaranteed;role
23;Crime Author;role
23;Superior Rule;role
23;Juridical Person;kind
23;General Rule;role
23;Criminally Liable;phase
23;Passive Juridical Person;role
23;Crime Agent;roleMixin
23;Physical Object;kind
23;Mentally Sick;phase
23;Criminally Incapable;phase
23;Physical Agent;category
23;Legal Agent;roleMixin
23;Collective Social Agent;category
23;Passive Agent;roleMixin
23;Disallowed Situation;role
23;Specific Rule;role
23;Abstract Object;role
23;Able Person;phase
23;Allowed Situation;role
23;Mandatory Situation;role
23;Crime Object;roleMixin
23;Guarantor Able Person;role
23;Adult;phase
23;Mentally Healthy;phase
23;Material Object;role
23;Social Object;kind
23;Passive Person;role
23;Ancient Rule;role
23;Active Agent;role
23;Institutional Agent;category
23;Natural Person;kind
23;Agent;mixin
23;Inferior Rule;role
23;Passive Society;role
24;Leaf_Wetting_Duration;category
24;Oher_Variables;kind
24;Production_Evolution_States;category
24;TIFF;datatype
24;NDVI_Index;category
24;Geolocation;subkind
24;Digital_Images;kind
24;Hours/day;datatype
24;Climate_Station;kind
24;Maximum_Temperature;category
24;Accumulated_Precipitation;category
24;Milimeters;datatype
24;Percentage;datatype
24;Crop;kind
24;Minimum_Temperature;category
24;Satellite_Images;subkind
24;Degrees_Celsius;datatype
24;Air_Relative_Humidity;category
25;StateCompany;phase
25;MixedEconomyCompany;phase
25;Autarchy;subkind
25;PublicEntity;category
25;Organization;category
25;PublicOrganization;category
25;PublicAdmnistrativeUnit;subkind
25;Company;kind
25;UnityOfOrganization;kind
25;NonEmpresarialPublicEntity;kind
25;OrganizationalUnit;category
25;Órgão Colegiado;kind
25;PublicCompany;phase
25;Órgão;kind
25;Foundation;subkind
26;Brokerage;subkind
26;Stock;relator
26;Public Traded Company;role
26;Buyer;role
26;Contract;relator
26;Stock Exchange;subkind
26;Hired Brokerage;role
26;StockHolder;roleMixin
26;StockholderOrganization;role
26;Person;kind
26;Stock Keeper;role
26;Organization;kind
26;Seller;role
26;Stockholder Person;role
27;Utility;mode
27;Impact Event;event
27;Threat Event;event
27;Resulting Situation;situation
27;Intention;mode
27;Threatening Situation;situation
27;Action Profile;event
27;Loss Event;event
27;Player Action;event
27;Utility Value;quality
27;Value Experience;event
27;Agent;category
27;Unity Value Ascription;mode
27;Gain Event;event
27;Successful Situation;situation
27;Outcome;event
27;Risk Event;event
27;Game;relator
27;Value Event;event
27;Utility Value Magnitude;datatype
27;Game Player;roleMixin
27;Trigger Event;event
28;HumanBody;kind
28;LesserGod;subkind
28;Sameness;kind
28;Philosopher-king;role
28;GuardianPerson;role
28;World'sSoul;kind
28;Name;subkind
28;Belief;kind
28;Good;mode
28;Democratic;subkind
28;Difference;kind
28;Triangle;kind
28;LivingThing;subkind
28;Reason;kind
28;Education;kind
28;Auxiliaries;collective
28;ProducerPerson;role
28;Intellect;kind
28;Family;collective
28;CardinalVirtue;mode
28;Form;kind
28;Temperance;subkind
28;Constitution;mode
28;HeavenlyBody;kind
28;Appetite;kind
28;Isosceles;subkind
28;PrivateProperty;subkind
28;Property;kind
28;HumanSoul;kind
28;Guardians;collective
28;SensePerception;kind
28;OriginalName;phase
28;Imagination;kind
28;boolean;datatype
28;World'sBody;kind
28;Citizen;role
28;NobleLie;kind
28;Fire;subkind
28;Class;category
28;string;datatype
28;Thinking;kind
28;HumanBeing;subkind
28;Demiurge;kind
28;Timocratic;subkind
28;Element;kind
28;Citiznship;relator
28;StateProperty;subkind
28;Earth;subkind
28;Convention;relator
28;IdealCity;kind
28;Air;subkind
28;Courage;subkind
28;Being;relator
28;PsychologicalConstitution;mode
28;Tyrannical;subkind
28;SpecificFormOfTheName;subkind
28;NameBearerObject;subkind
28;Spirit;kind
28;Justice;subkind
28;Particular;kind
28;God;category
28;Recollection;kind
28;Water;subkind
28;Aristocratic;subkind
28;AuxiliaryPerson;role
28;Producers;collective
28;Essence;kind
28;Universe;subkind
28;Scalene;subkind
28;PresentName;phase
28;Receptacle;kind
28;Wisdom;subkind
28;Oligarchic;subkind
29;Recommendation Referencing Recomendation;subkind
29;Concept Definition;relator
29;Concept Defining Recommendation;subkind
29;Concept;kind
29;Problematic Recommendation;subkind
29;Recommendation Version;kind
29;Indirectly Recommendation Referenced Recomendation;subkind
29;Indirectly Recommendation Referencing Recomendation;subkind
29;Recommendation Referenced Recomendation;subkind
29;Possibly Problematic Recommendation;subkind
29;Publication;relator
29;Correct Concept;subkind
29;Recommendation;kind
29;char;datatype
29;int;datatype
29;Concept Referencing Recommendation;subkind
29;Problematic Concetp;subkind
29;Referenced Concept;subkind
30;Solved CR;phase
30;Performed General Process;event
30;Configuration Audit Report;subkind
30;Checkout;event
30;Configuration Item (CI);roleMixin
30;Change Implementation;event
30;Performed Process;event
30;Simple Artifact;category
30;Configuration Manager;role
30;Evaluate CR;phase
30;Configuration Management Plan;subkind
30;Checkin;event
30;Change Implementer;role
30;Item;mixin
30;Configuration Items Identification;event
30;Change Requester;role
30;Configuration Management System Establishment;event
30;Performed Activity;event
30;Closed CR;phase
30;Change Request Closing;event
30;Document;kind
30;CR Being Solved;phase
30;Baseline Establishment;event
30;Request Evaluation;event
30;Change Request (CR);subkind
30;Information Item;kind
30;Configuration Management Process;event
30;Release Management and Delivery;event
30;Reviewed CR;phase
30;Artifact Copy;category
30;Configuration Auditor;role
30;Stakeholder;roleMixin
30;Performed Simple Activity;event
30;Software Item;kind
30;Perofrmed Specific Process;event
30;Configuration Auditing;event
30;Baseline;subkind
30;Deliverable Product;subkind
30;Artifact;category
30;Perfomed Composite Activity;event
30;Change Requesting;event
30;Change Accomplishment;event
30;Model;kind
30;Composite Artifact;category
30;Software Product;kind
30;Change Review;event
30;Change Request Evaluator;role
30;Change Reviewer;role
30;Communicate CR;phase
30;Artifact CI;role
30;Version;mode
30;Configuration Management Planning;event
30;Change Control;event
31;Value;enumeration
31;Granulometry;enumeration
31;Rock;quantity
31;Oil + Porous rock;situation
31;Siliciclastic Rock;quantity
31;Generation;event
31;contact;datatype
31;LithologicUnit qua shale;kind
31;Oil;quantity
31;Reservoir;role
31;Seal;role
31;Oil + Mudstone + Porous Rock;situation
31;LithologicUnit qua sandstone;kind
31;Oil + Trap;situation
31;Porosity;quality
31;BoundaryType;enumeration
31;Trap;mixin
31;Sandstone;quantity
31;Acumulation;event
31;Structure;enumeration
31;Source Rock;role
31;Lithological unit;kind
31;Dimensions;enumeration
31;Shale;quantity
31;Pre-generation;situation
31;Migration;event
31;Boundary;kind
31;Quantity Organic matter;quality
31;Hidrocarbon;quantity
32;economic-resource;roleMixin
32;to;relator
32;transfer;kind
32;decrement-event;roleMixin
32;stock-flow;relator
32;inflow;relator
32;inside-party;relator
32;participation;relator
32;transformation-duality;relator
32;duality;relator
32;consume;role
32;economic-agent;roleMixin
32;from;relator
32;produce;role
32;transformation;kind
32;increment-event;roleMixin
32;take;role
32;give;role
32;outflow;relator
32;trading-partner;roleMixin
32;transfer-duality;relator
32;economic-event;roleMixin
32;outside-party;relator
33;penalty;subkind
33;major premisse;role
33;designatedRegistry;role
33;document;kind
33;registry;subkind
33;system;kind
33;civilCommitment;relator
33;organizationalPart;subkind
33;serviceUnit;role
33;destiny;kind
33;facto;kind
33;search;subkind
33;title;kind
33;designatedSection;role
33;update;subkind
33;Atomic;subkind
33;action;relator
33;source;kind
33;organization;subkind
33;internalAffairDepartment;subkind
33;military;role
33;militaryCommitment;relator
33;conclusion;role
33;delete;subkind
33;attachment;kind
33;keywordSet;collective
33;Composed;subkind
33;command;relator
33;sectionResponsible;role
33;activity;kind
33;individualBase;phase
33;reward;subkind
33;message;subkind
33;content;kind
33;commandUnit;role
33;policeIAD;subkind
33;individual;subkind
