name;description;inferred_stereotype
Vehicle;A machine, typically with wheels and an engine, used for transporting people or goods on land.;kind
Data;Facts and statistics collected together for reference or analysis.;kind
Handling;The process of managing, directing, or controlling something.;relator
Agent;An entity capable of acting or causing actions.;category
Trope;A significant or recurrent theme or motif, often used in a figurative or metaphorical sense.;category
Technical System;A system comprised of technical components designed to perform a specific function.;kind

Collection;A group of similar or related objects gathered together for preservation, study, or display.;collective
Archive;A collection of historical documents or records providing information about a place, institution, or group of people.;kind
Organization;A structured group of people with a common purpose, typically with defined roles and responsibilities.;kind
Document Operated;A document that has been handled or modified in some way.;roleMixin
Operation;An action or procedure carried out for a particular purpose.;event
Digital;Representing data as a series of digits (typically binary), often referring to electronic formats.;mode
Operator;A person who operates or controls something, such as machinery or equipment.;role
ArchiveManaged;An archive that is being actively managed and maintained.;roleMixin
Document;A piece of written, printed, or electronic matter that provides information or evidence or that serves as an official record.;kind
Principle of Respect for Original Order;An archival principle emphasizing the importance of preserving the original order of documents within a collection.;quality
Management;The process of dealing with or controlling things or people.;kind
Individual;A single human being as distinct from a group.;kind
Funds;A sum of money saved or made available for a particular purpose.;quantity
Photography;The art or practice of taking and processing photographs.;kind
Archivist;A person whose job it is to maintain, preserve, and catalog the documents or pieces in an archive.;role
Traditional;"Existing in or as part of a tradition; long-established.";mode
Principle of Provenance;An archival principle that stresses the importance of documenting the origins and custody of archival materials.;quality

Natureza Despesa;A classification or category that defines the purpose or type of an expense.;subkind
Contrato com Licitacão;A contract that is awarded through a competitive bidding process (licitacão).;subkind
Empenho;The commitment of funds to cover a future expense, essentially a reservation of resources.;phase
Contrato com Dispensa;A contract that is awarded without a competitive bidding process due to an exemption (dispensa).;subkind
Contrato;A legally binding agreement between two or more parties.;kind
Governo;The governing body of a state, nation, or community.;kind
Execucão Despesa;The execution or carrying out of an expense.;phase
Pagamento;The act of paying a sum of money.;event
Pessoa;An individual or a legal entity, such as a person or a company.;kind
Acão;An action or activity that is undertaken.;event
Programa;A planned series of events or activities with a specific aim.;kind
Despesa Paga;An expense that has been paid.;phase
Empresa Credor;A company that is owed money (credor).;role
Local;A particular place or position.;kind
Processo Execucão;The process of carrying out or executing something.;subkind
Categoria Econômica;An economic classification or category.;subkind
Processo Licitatório;The process of competitive bidding (licitacão).;subkind
Subtítulo;A subdivision of a title or category.;subkind
Governo Municipal;The governing body of a municipality or city.;subkind
Contrato Inicial;The initial or original contract.;phase
Empresa;A business or company.;kind
Despesa Empenhada;An expense for which funds have been committed (empenhada).;phase
Contrato Aditivo;An amendment or addition to an existing contract.;subkind
Exeucão com Contrato;Execution of a project or service based on a contract.;subkind
Funcão;"The purpose for which something is designed or exists; role.";role
Modalidade Aplicacão;The method or modality of application or use.;subkind
Pessoa Credor;An individual who is owed money (credor).;role
Governo Federal;The national or federal government of a country.;subkind
Grupo Natureza;A group or category of expenses based on their nature.;subkind
Processo;A series of actions or steps taken in order to achieve a particular end.;kind
Credor;An entity (person or organization) that is owed money.;role
Execucão sem Contrato;Execution of a project or service without a formal contract.;subkind
Dispensa Licitacão;The act of exempting a contract from the competitive bidding process (licitacão).;event
Despesa;An expense or cost.;kind
Liquidacão;The process of verifying and settling a debt or expense.;phase
Despesa Liquidada;An expense that has been verified and settled (liquidada).;phase
Acão Licitatória;An action or activity related to the competitive bidding process (licitacão).;subkind
Licitacão;A competitive bidding process for awarding contracts.;kind
SubFuncão;A specific task or area of responsibility within a larger function.;subkind
Órgão;A government agency or department.;subkind
Governo Estadual;The governing body of a state or province.;subkind
Unidade Gestora;A unit or department responsible for managing resources and expenses.;role

Performed Specific Process;An instance of a specific process that has been carried out.;phase
Tracked Activity;An activity whose progress is being monitored.;phase
Stakeholder Participation;The involvement of stakeholders in a project or process.;collective
Estimated Process;A process whose characteristics (e.g., duration, cost) have been forecasted or approximated.;phase
Estimated Stakeholder Allocation;A planned distribution of stakeholders to different tasks or responsibilities, often based on estimations.;role
Estimated Activity;An activity whose characteristics (e.g., duration, cost) have been forecasted or approximated.;phase
Project Process;A process that is part of a project.;subkind
Intended Process;A process that is planned or intended to be carried out.;phase
Tracked Process;A process whose progress is being monitored.;phase
Software Project;A project that involves the development of software.;subkind
Duration Estimated Process;A process whose duration has been estimated.;phase
Work Package;A defined amount of work that is part of a project.;subkind
Intended Activity;An activity that is planned or intended to be carried out.;phase
Project Activity;An activity that is part of a project.;subkind
Stakeholder Allocation;The distribution of stakeholders to different tasks or responsibilities.;relator
Performed Process;An instance of a process that has been carried out.;phase
Performed Activity;An instance of an activity that has been carried out.;phase
General Project Process;A general type of process that is common to many projects.;subkind
Performed Project Process;An instance of a project process that has been carried out.;phase
Duration Estimated Activity;An activity whose duration has been estimated.;phase
Scope Estimated Activity;An activity whose scope has been estimated.;phase
Specific Project Process;A process that is specific to a particular project.;subkind
Cost Estimated Activity;An activity whose cost has been estimated.;phase
General Intended Process;A general type of process that is planned or intended to be carried out.;subkind
Practical Result;A tangible or intangible output or outcome of a process or project.;kind
Tracked Stakeholder Participation;Stakeholder participation that is being monitored or tracked.;phase
Performed General Process;An instance of a general process that has been carried out.;phase
Stakeholder;A person or group with an interest in a project or process.;role
Scheduled Process;A process that has been assigned a specific time or date for execution.;phase
Deliverable;A tangible or intangible output or outcome that is expected to be produced by a project or process.;kind
Performed Project Activity;An instance of a project activity that has been carried out.;phase
Scheduled Activity;An activity that has been assigned a specific time or date for execution.;phase
Specific Intended Process;A specific type of process that is planned or intended to be carried out.;subkind
Cost Estimated Process;A process whose cost has been estimated.;phase

Nº de Citações;The number of times a scientific work or author has been cited by other works.;quantity
Entidades Avaliáveis;Entities that can be evaluated, likely referring to scientific works, authors, or journals.
Autor Científico Independente;A scientist who publishes research without being affiliated with any institution.;role
Índice de Qualidade Científica;A metric used to assess the quality of scientific publications, authors, or institutions.;quality
Veículos de Publicação Científica;Channels or platforms for disseminating scientific knowledge, such as journals, conferences, and books.;collective
Pessoa Física;A natural person, an individual human being.;kind
Periódico;A publication that appears regularly and contains articles on various subjects, typically academic or professional.;kind
Anais de Evento;A published collection of papers or presentations from a scientific conference or symposium.;kind
Publicação de Obra Científica;The act of making a scientific work available to the public, through printing, online publishing, etc.;event
Instituição;An organization founded for a particular purpose, especially research or education.;kind
Publicador;An entity responsible for publishing and distributing scientific works.;role
Obra Científica Editada;A scientific work that has been prepared for publication.;subkind
Volume de Periódico;A specific issue or collection of a periodical, usually published within a year.;subkind
Texto Científico;A written work that presents original research findings or scientific knowledge.;kind
Edição de Obra Científica;A particular version of a scientific work, identified by its publication date, editor, or revisions.;subkind
Livro;A long written work published as a bound volume.;kind
Artigo de Periódico Publicado;A research article that has been published in a periodical or journal.;subkind
Índice de Autor;A metric that quantifies the scientific output and impact of an author.;quality
Índice de Texto Científico Publicado;A metric that evaluates the impact or quality of a published scientific text.;quality
Editor;A person who prepares a scientific work for publication.;role
Texto Científico Publicado;A scientific text that has been made available to the public through publication.;subkind
Área de Pesquisa;A specific branch or field of scientific inquiry.;subkind
Pessoa Jurídica;A legal entity, such as a corporation or institution.;kind
Índice de Veículo de Publicação;A metric that assesses the quality or impact of a scientific publication venue.;quality
Artigo Publicado;A research article that has been formally published.;subkind
Edição de Livro;A particular version of a book, identified by its publication details and revisions.;subkind
Obra Científica Publicada;A scientific work that has been made publicly available.;subkind
Afiliação;The relationship between a researcher and their institution.;relator
Qualis;A system used in some countries to classify scientific journals by quality.;kind
JCR;Journal Citation Reports, a database providing information about journal impact factors.;kind
Autoria Científica;The act of creating and being responsible for a scientific work.;relator
Capítulo de Livro Publicado;A specific section or chapter within a published book.;subkind
Autor Científico;A person who conducts scientific research and writes about it.;role
Artigo de Evento Publicado;A research article presented and published in the proceedings of a scientific conference.;subkind
H-index;A metric that measures the productivity and citation impact of a scientist's publications.;quality
Colaborador Afiliado;A researcher who contributes to a scientific work and is affiliated with an institution.;role
Autor Científico Afilidado;A scientist who is associated with an institution and publishes research under that affiliation.;role
Edição do Evento;A specific instance or occurrence of a scientific event, like a conference.;subkind
H-10;A variation of the h-index, likely referring to a specific time window or calculation method.;quality
Fascículo;A separately published part of a book or journal, usually released in installments.;subkind
Coleção de Textos Científicos;A curated group or assembly of scientific texts, like a book series or journal volume.;collective
Resumo Publicado;A concise summary of a scientific work that has been published.;subkind
Texto Científico Editado;A scientific text that has undergone editing and preparation for publication.;subkind
Evento;A significant occurrence or happening, especially one planned or organized.;kind

Binding;A relationship that associates two or more network elements or functions.;relator
LC Composed Layer Network;A layer network composed of logical components (LC).;subkind
Server Section Layer;The section layer on the server side of a network.;subkind
Uni A-FP Bi Component;A bidirectional component that connects a unidirectional adaptation function (A-FP) to a bidirectional element.;roleMixin
Unidirectional Sink-Source Matrix;A matrix that connects a unidirectional sink to a unidirectional source.;subkind
Egress SN Sk-So_2;The second egress subnetwork (SN) for the Sk-So connection.;subkind
A - LPF Source Connected;An adaptation function (A) connected to a layer processor function (LPF) source.;situation
Equipment Composed Site;A site composed of multiple pieces of equipment.;subkind
M Input - Sk M-FP Bound;A matrix (M) input bound to a Sk-M-FP connection.;situation
Subnetwork;A portion of a network with a specific function or purpose.;subkind
PM Interface Bound Input;A physical media (PM) interface bound to an input.;situation
A-FP Binding;The binding of an adaptation function (A) to a forwarding point (FP).;relator
Termination Source Input;The input of a termination source.;situation
Ingress SN So;An ingress subnetwork (SN) for the So connection.;subkind
Single Equipment Site;A site composed of a single piece of equipment.;subkind
Bidirectional Adaptation - Bi T Connected;A bidirectional adaptation function connected to a bidirectional termination (Bi T).;situation
Supporting Access Transport Entity;A transport entity that supports access functions.;subkind
Adaptation Sink;The endpoint of an adaptation function that receives data.;role
Termination So Bidirectional Component;A bidirectional component that terminates the So connection.;roleMixin
Forwarding Rule MC Sk;A forwarding rule for the multi-connection (MC) to Sk connection.;kind
Adaptation Sink Output;The output of an adaptation sink.;situation
Bidirectional M-FP;A bidirectional matrix forwarding point (M-FP).;subkind
Mapped Module Output Interface;An output interface of a module that is mapped to a higher layer.;subkind
Input Interface;An interface that receives data.;role
Sink PM-FEP Bi Component;A bidirectional component that terminates a PM-FEP connection on the sink side.;roleMixin
Active Sk SN-FEP - End CFTE connected;An active Sk SN-FEP connection connected to the end of a channel forwarding transport entity (CFTE).;situation
Bidirectional M-FEP;A bidirectional matrix forwarding endpoint (M-FEP).;subkind
Source AP Binding;The binding of a source access point (AP).;relator
Active Path Bidirectional M-FP;An active bidirectional matrix forwarding point (M-FP) on a path.;subkind
Forwarding End Point;The endpoint of a forwarding path.;role
Layer Processor Function Source;The source of a layer processor function (LPF).;role
Bound Input Interface PM;A physical media (PM) input interface that is bound to a specific connection.;subkind
Forwarding Function CFTE;The forwarding function of a channel forwarding transport entity (CFTE).;role
SN Output - Sk S-FEP Bound;A subnetwork (SN) output bound to a Sk-S-FEP connection.;situation
Layer Processor Sink - A Connected;A layer processor sink connected to an adaptation function (A).;situation
Module Switch OTN;A module in an optical transport network (OTN) switch.;subkind
Connected Relatable TC;A relatable topological component (TC) that is connected.;situation
Path LC Forwarding;Forwarding of traffic on a path using logical components (LC).;subkind
So Matrix Bi Component;A bidirectional component of a matrix that handles So connections.;roleMixin
A Sk - Termination Sink Connected;An adaptation function (A) connected to a termination sink on the Sk connection.;situation
Bi M - Bidirectional Termination Connected;A bidirectional matrix (Bi M) connected to a bidirectional termination.;situation
Bidirectional LPF - Bi Termination Connected;A bidirectional layer processor function (LPF) connected to a bidirectional termination.;situation
Single Equipment Site Component;A component of a site that consists of a single piece of equipment.;subkind
Uni Matrix - A Sk Connected;A unidirectional matrix connected to an adaptation function (A) on the Sk connection.;situation
Module Mapped TF Output;The output of a transport function (TF) that is mapped to a module.;subkind
Source AP;The source access point (AP) of a connection.;role
A So Input - So M-FP Bound;An adaptation function (A) input on the So connection bound to a So-M-FP connection.;situation
Channel Forwarding Transport Entity;A transport entity that performs channel forwarding.;subkind
Termination Sink;The endpoint of a connection that receives data.;role
Sink CFTE;The sink channel forwarding transport entity (CFTE).;role
Possible Ingress LC;A possible ingress point for a logical component (LC).;role
NC Supported by MC;A network connection (NC) that is supported by a multi-connection (MC).;situation
Source M-FEP;The source matrix forwarding endpoint (M-FEP) of a connection.;role
Component Subnetwork;A subnetwork that is a component of a larger network.;subkind
Termination Source Output;The output of a termination source.;situation
LPF - Termination Source Connected;A layer processor function (LPF) connected to a termination source.;situation
LPF Sk Bidirectional Component;A bidirectional component of a layer processor function (LPF) for the Sk connection.;roleMixin
Sink SN-FEP Bi Component;A bidirectional component that terminates a SN-FEP connection on the sink side.;roleMixin
Sink FEP;The sink forwarding endpoint (FEP) of a connection.;role
Transport Function;A function that is responsible for transporting data.;role
Sink SN-FP;The sink subnetwork forwarding point (SN-FP) of a connection.;role
Egress SN So;An egress subnetwork (SN) for the So connection.;subkind
Intermediate CFTE;A channel forwarding transport entity (CFTE) that is located between other CFTEs.;subkind
Sk MC Forwarding;Forwarding of traffic on the Sk connection using multi-connection (MC).;subkind
Bidirectional Layer Processor - A Bi Connected;A bidirectional layer processor connected to a bidirectional adaptation function (A).;situation
NC Supported by LC;A network connection (NC) that is supported by a logical component (LC).;situation
Fowarding Rule Sk SN;A forwarding rule for the Sk to subnetwork (SN) connection.;kind
Source Path FEP;The source forwarding endpoint (FEP) of a path.;role
Source LPF-FEP Bi Component;A bidirectional component that originates a LPF-FEP connection on the source side.;roleMixin
A Sk Output - Sk SN-FP Bound;An adaptation function (A) output on the Sk connection bound to a Sk-SN-FP connection.;situation
Adaptation So Bidirectional Component;A bidirectional component of an adaptation function for the So connection.;roleMixin
Sink AP Binding;The binding of a sink access point (AP).;relator
Module Input Interface;An input interface of a module.;subkind
Active Sink AP;An active sink access point (AP).;subkind
Forwarding Rule MC Sk-So;A forwarding rule for the multi-connection (MC) to Sk-So connection.;kind
T So - Adaptation Source Connected;A termination (T) on the So connection connected to an adaptation source.;situation
Source A-FEP;The source adaptation function endpoint (A-FEP) of a connection.;role
Source SN-FP;The source subnetwork forwarding point (SN-FP) of a connection.;role
Source PM-FEP Binding;The binding of a source physical media forwarding endpoint (PM-FEP).;relator
Section Layer Termination;The termination of a connection at the section layer.;subkind
Source CFTE;The source channel forwarding transport entity (CFTE) of a connection.;role
Unidirectional PM NC Bidirectional Component;A bidirectional component of a unidirectional physical media (PM) network connection (NC).;roleMixin
Termination Sink - SN Connected;A termination sink connected to a subnetwork (SN).;situation
Bound Transport Function;A transport function that is bound to a specific connection or path.;subkind
Active Possible Bi LC Connected RP;An active reference point (RP) that is connected to a possible bidirectional logical component (Bi LC).;situation
Bound Output Interface Equipment;An output interface of a piece of equipment that is bound to a specific connection.;subkind
ODU Switch;A switch that operates at the optical data unit (ODU) layer.;kind
Adaptation Sink Input;The input of an adaptation sink.;situation
Sink M-FEP Bi Component;A bidirectional component that terminates a M-FEP connection on the sink side.;roleMixin
Source MC Bi Component;A bidirectional component that originates a multi-connection (MC) on the source side.;roleMixin
M Output - Sk M-FEP Bound;A matrix (M) output bound to a Sk-M-FP connection.;situation
Bidirectional Matrix;A matrix that supports bidirectional connections.;subkind
Unidirectional Subnetwork;A subnetwork that supports unidirectional connections.;subkind
Forwarding Function CFTE Sk;The forwarding function of a channel forwarding transport entity (CFTE) for the Sk connection.;role
M - Termination Source Connected;A matrix (M) connected to a termination source.;situation
Uni Subnetwork - A So Connected;A unidirectional subnetwork connected to an adaptation function (A) on the So connection.;situation
Relatable Topological Components;Topological components that can be related to each other.;roleMixin
T Sk Input - Sk LPF-FEP Bound;A termination (T) input on the Sk connection bound to a Sk-LPF-FEP connection.;situation
Bidirectional FEP;A bidirectional forwarding endpoint (FEP).;subkind
Adaptation Sk Bidirectional Component;A bidirectional component of an adaptation function for the Sk connection.;roleMixin
A So - Uni Subnetwork Connected;An adaptation function (A) on the So connection connected to a unidirectional subnetwork.;situation
Matrix Connection;A connection that is routed through a matrix.;subkind
Bound Output Interface;An output interface that is bound to a specific connection.;subkind
Unidirectional MC;A unidirectional multi-connection (MC).;subkind
PM Interface Bound Output;A physical media (PM) interface bound to an output.;situation
Active Path Bidirectional M-FEP;An active bidirectional matrix forwarding endpoint (M-FEP) on a path.;subkind
Unidirectional Path NC Bidirectional Component;A bidirectional component of a unidirectional path network connection (NC).;roleMixin
T So Output - So M-FEP Bound;A termination (T) output on the So connection bound to a So-M-FEP connection.;situation
Sink LPF-FEP Bi Component;A bidirectional component that terminates a LPF-FEP connection on the sink side.;roleMixin
Active Path Bidirectional SN-FP;An active bidirectional subnetwork forwarding point (SN-FP) on a path.;subkind
Single Physical Media;A single instance of a physical media.;subkind
Section-Physical Media Layers AF;Adaptation functions (AF) that operate between the section and physical media layers.;subkind
Equipment Composed of Modules;Equipment that is composed of multiple modules.;subkind
Path-Section Layers AF;Adaptation functions (AF) that operate between the path and section layers.;subkind
Sink SN-FEP;The sink subnetwork forwarding endpoint (SN-FEP) of a connection.;role
Termination Source - LPF Connected;A termination source connected to a layer processor function (LPF).;situation
Bi SN - Bidirectional Termination Connected;A bidirectional subnetwork (Bi SN) connected to a bidirectional termination.;situation
Ingress MC Sk-So;An ingress multi-connection (MC) for the Sk-So connection.;subkind
Unidirectional PM NC;A unidirectional physical media (PM) network connection (NC).;subkind
Bi Termination - Bidirectional A Connected;A bidirectional termination connected to a bidirectional adaptation function (A).;situation
Connected Output Interface;An output interface that is connected to another element.;situation
Active Sk Path-FEP - Path NC connected;An active Sk Path-FEP connection connected to a path network connection (NC).;situation
End Forwarding;The forwarding of traffic at the end of a connection or path.;subkind
Unidirectional A-FP;A unidirectional adaptation function forwarding point (A-FP).;subkind
Bound Input Interface;An input interface that is bound to a specific connection.;subkind
Bidirectional Termination - Bi A Connected;A bidirectional termination connected to a bidirectional adaptation function (A).;situation
Active So PM-FEP - PM NC connected;An active So PM-FEP connection connected to a physical media (PM) network connection (NC).;situation
Adaptation Sink - A So Connected;An adaptation sink connected to an adaptation function (A) on the So connection.;situation
T So Input - So AP Bound;A termination (T) input on the So connection bound to a So-AP connection.;situation
LPF So Bidirectional Component;A bidirectional component of a layer processor function (LPF) for the So connection.;roleMixin
Bidirectional LP-FP;A bidirectional layer processor forwarding point (LP-FP).;subkind
Composed AG;An access group (AG) that is composed of multiple elements.;subkind
Termination Sink - PM Connected;A termination sink connected to a physical media (PM).;situation
Layer Processor Source Output;The output of a layer processor source.;situation
Equipment;A physical device used in a network.;kind
A Sk Output - A-FP Bound;An adaptation function (A) output on the Sk connection bound to an A-FP connection.;situation
Unidirectional Access Transport Entity;A transport entity that supports unidirectional access functions.;subkind
A Sk - Uni Subnetwork Connected;An adaptation function (A) on the Sk connection connected to a unidirectional subnetwork.;situation
Termination Function;A function that terminates a connection.;role
Forwarding Rule;A rule that determines how traffic is forwarded.;kind
Sink Path FEP;The sink forwarding endpoint (FEP) of a path.;role
Source M-FEP Bi Component;A bidirectional component that originates a M-FEP connection on the source side.;roleMixin
Bound Input Interface Equipment;An input interface of a piece of equipment that is bound to a specific connection.;subkind
Source MC;The source of a multi-connection (MC).;role
Matrix Output;The output of a matrix.;situation
Forwarding Function;The function of forwarding traffic.;role
PM - Termination Source Connected;A physical media (PM) connected to a termination source.;situation
T Sk Input - Sk M-FEP Bound;A termination (T) input on the Sk connection bound to a Sk-M-FEP connection.;situation
Transport Function Module Component;A component of a module that provides transport functions.;subkind
Bidirectional Adaptation - Bi A Connected;A bidirectional adaptation function connected to another bidirectional adaptation function (Bi A).;situation
Matrix;A network element that connects multiple inputs to multiple outputs.;kind
Bi Subnetwork - A Bi Connected;A bidirectional subnetwork connected to a bidirectional adaptation function (A).;situation
Active Intermediate Bidirectional M-FP;An active bidirectional matrix forwarding point (M-FP) that is located between other M-FPs.;subkind
Active So SN-FEP - End CFTE connected;An active So SN-FEP connection connected to the end of a channel forwarding transport entity (CFTE).;situation
Bidirectional LC;A bidirectional logical component (LC).;subkind
Adaptation Source;The endpoint of an adaptation function that sends data.;role
Path LC Bi Component;A bidirectional component of a logical component (LC) for a path.;roleMixin
Bidirectional Adaptation;An adaptation function that supports bidirectional connections.;subkind
PM Output - Sk PM-FEP Bound;A physical media (PM) output bound to a Sk-PM-FEP connection.;situation
A So Input - A-FP Bound;An adaptation function (A) input on the So connection bound to an A-FP connection.;situation
Topological SN Representation;The representation of a subnetwork (SN) in a topological view.;kind
Bound Output Interface PM;A physical media (PM) output interface that is bound to a specific connection.;subkind
A Sk Input - Sk AP Bound;An adaptation function (A) input on the Sk connection bound to a Sk-AP connection.;situation
Source SN-FP Binding;The binding of a source subnetwork forwarding point (SN-FP).;relator
Sink M-FEP;The sink matrix forwarding endpoint (M-FEP) of a connection.;role
LP-FP;Layer processor forwarding point (LP-FP).;subkind
Adaptation Function;A function that adapts data between different layers or protocols.;role
;comment
ECGDevice;A device that records the electrical activity of the heart.;kind
Measurement;The act of measuring or the process of being measured.;relator
ECGRecordingSession;A period of time during which an ECG is being recorded.;phase
Device;A thing made or adapted for a particular purpose, especially a piece of mechanical or electronic equipment.;kind
LivingPerson;A person that is alive.;subkind
TimeSeriesMeasurements;A series of measurements taken over time.;collective
ECGSampleSequence;A sequence of individual ECG samples taken over time.;collective
ECGLeadBipolarLimb;A type of ECG lead that measures the electrical difference between two points on the limbs.;subkind
ElectricPotential;The work done per unit of charge to move a charge from a reference point to a specific point in an electric field.;quantity
float;A data type representing a single-precision floating-point number.;datatype
ECGLead;A specific configuration of electrodes placed on the body to record electrical activity from a particular perspective.;kind
Sensor;A device that detects or measures a physical property and records, indicates, or otherwise responds to it.;role
Task;A piece of work to be done or undertaken.;kind
ECGLeadUnipolar;A type of ECG lead that measures the electrical potential at a single point relative to a reference point.;subkind
Property;A quality, attribute, or characteristic of something.;quality
HeartElectricalActivity;The electrical signals generated by the heart.;kind
UnitOfMeasurement;A definite magnitude of a quantity, defined and adopted by convention or by law, that is used as a standard for measurement of the same kind of quantity.;kind
PersonUnderECGMonitoring;A person whose ECG is being monitored.;role
BiologicalPerson;A person as a biological organism.;subkind

DepolarizationOfCSAMyocytes;The process of depolarization happening in the cardiomyocytes of the cardiac sinoatrial node.;event
BloodinRightAtrium;Blood present within the right atrium of the heart.;situation
ECMOfCSA;Extracellular matrix (ECM) of the cardiac sinoatrial node.;kind
CSVMyocytes;Cardiomyocytes present in the cardiac specialized ventricular system.;kind
LVContraction;The event of the left ventricle of the heart contracting.;event
AVElectricalImpulse;Electrical impulse generated by the atrioventricular node of the heart.;kind
Electrode;A conductor used to establish an electrical contact.;kind
ToGenerateCEI;The function or role of generating cardiac electrical impulses.;roleMixin
LeftVentricleAsPump;The left ventricle of the heart functioning as a pump.;role
TWave;The T wave in an electrocardiogram (ECG) representing ventricular repolarization.;kind
FilteringTecnique;A technique used for filtering signals.;kind
STSegment;The ST segment in an electrocardiogram (ECG) representing the interval between ventricular depolarization and repolarization.;kind
BandpassFilter;An electronic filter that passes frequencies within a certain range.;kind
LVBloodStoring;The process of the left ventricle storing blood.;event
ConductingSystemOfVentricles;The system of specialized cells responsible for conducting electrical impulses in the ventricles of the heart.;kind
RightVentricleAsPump;The right ventricle functioning as a pump.;role
CSVMyocytesPolarized;Cardiomyocytes of the cardiac specialized ventricular system in a polarized state.;situation
ECMOfCSV;The extracellular matrix (ECM) of the cardiac specialized ventricular system.;kind
RightAtriumAsPump;The right atrium of the heart functioning as a pump.;role
CSAMyocytesDepolarized;Cardiomyocytes of the cardiac sinoatrial node in a depolarized state.;situation
BloodInLeftVentricle;Blood present within the left ventricle of the heart.;situation
PeripheralsAsBloodContainer;Peripheral parts of the body acting as a container for blood.;role
BloodinRightVentricle;Blood present within the right ventricle of the heart.;situation
