name;stereotype;number;description;inferred_stereotype
<Monitoring Action Participant> Monitoring Event Participant;role;87;;None
<Monitoring Event> Monitoring Event;event;87;;None
<Monitoring Process> Monitoring Process;kind;87;;None
<Natural Person> Person;kind;87;;None
<Network Connection> Network Connection;relator;87;;None
<Official Legal Process> Official Legal Process;kind;87;;None
<Official Legal Record> Official Legal Record;kind;87;;None
<Organisation Member> Member;role;87;;None
<Perpetrator> Perpetrator;roleMixin;87;;None
<Person Relationship> Person Relationship;relator;87;;None
<Place> Place;kind;87;;None
<Site> Site;subkind;87;;None
<UFO-B: Event> Event;event;87;;None
<UFO-B: Situation> Situation;situation;87;;None
<UFO-C: Agent> Agent;category;87;;None
<UFO-C: Social Agent> Organisation OR Group;kind;87;;None
<Victim> Victim;roleMixin;87;;None
A - LPF Source Connected;role;103;An adaptation function (A) connected to a layer processor function (LPF) source.;situation
A - Layer Processor Sink Connected;role;103;;None
A Sk - Termination Sink Connected;role;103;An adaptation function (A) connected to a termination sink on the Sk connection.;situation
A Sk - Uni Matrix Connected;role;103;;None
A Sk - Uni Subnetwork Connected;role;103;An adaptation function (A) on the Sk connection connected to a unidirectional subnetwork.;situation
A Sk Input - Sk AP Binded;role;107;;None
A Sk Input - Sk AP Bound;role;103;An adaptation function (A) input on the Sk connection bound to a Sk-AP connection.;situation
A Sk Output - A-FP Bound;role;103;An adaptation function (A) output on the Sk connection bound to an A-FP connection.;situation
A Sk Output - Sk A-FEP Bound;role;103;;None
A Sk Output - Sk LP-FP Bound;role;103;;None
A Sk Output - Sk M-FP Bound;role;103;;None
A Sk Output - Sk SN-FP Bound;role;103;An adaptation function (A) output on the Sk connection bound to a Sk-SN-FP connection.;situation
A So - Adaptation Sink Connected;role;103;;None
A So - Termination Source Connected;role;103;;None
A So - Uni Matrix Connected;role;103;;None
A So - Uni Subnetwork Connected;role;103;An adaptation function (A) on the So connection connected to a unidirectional subnetwork.;situation
A So Input - A-FP Bound;role;103;An adaptation function (A) input on the So connection bound to an A-FP connection.;situation
A So Input - So A-FEP Bound;role;103;;None
A So Input - So L-FP Bound;role;103;;None
A So Input - So M-FP Bound;role;103;An adaptation function (A) input on the So connection bound to a So-M-FP connection.;situation
A So Input - So SN-FP Bound;role;103;;None
A So Output - So AP Binding;role;107;This phrase is unclear without further context. It might be describing a specific output from an adaptation source that is connected to a Source application part binding. More information is needed to provide a precise description and stereotype.;None
A So Output - So AP Bound;role;103;;None
A requerimento (art. 12,I,c, segunda parte);subkind;43;Forma de aquisição da nacionalidade brasileira por meio de requerimento formal, previsto em lei para casos específicos, como o de filhos de brasileiros nascidos no exterior que não foram registrados em repartição brasileira.;phase
A-FP;category;103;;None
A-FP Binding;relator;103;The binding of an adaptation function (A) to a forwarding point (FP).;relator
AFAC;relator;81;;None
AL Iniciada por Reclamação;relator;81;Administrative lawsuit initiated due to a complaint.;situation
AP;kind;107;Application Part. This is a general term referring to a distinct module or component within an application. It could be a source of data, a sink for data, or perform some other specific function.;role
AP Forwarding;relator;103;;None
ATM;subkind;69;An automated teller machine.;subkind
ATe por Lavratura de AI;relator;81;;None
ATe por N. Infração Iniciada por TAC;relator;81;;None
ATe por Notificação de Infração;relator;81;Technical Note issued due to an infraction notification.;kind
ATe por Notificação do Infrator;relator;81;;None
AVElectricalImpulse;kind;105;Electrical impulse generated by the atrioventricular node of the heart.;kind
AVNodeCells;subkind;105;Cells of the atrioventricular (AV) node in the heart.;subkind
Abalroamento;relator;81;;None
Abertura;kind;81;;None
Abhorrence;subkind;7;A feeling of intense disgust and loathing, potentially elicited by morally reprehensible actions or disturbing themes in games.;subkind
AbioticEntity;category;118;A non-living component of an ecosystem.;category
Able Person;phase;23;An individual with the legal capacity and mental competence to understand and engage in legal transactions or acts.;role
Abnormal;subkind;105;Deviating from what is normal or usual, typically in a way that is undesirable or worrying.;quality
Abstract Class;subkind;108;A class that cannot be instantiated directly, serving as a base for subclasses.;subkind
Abstract Method;subkind;108;A method without an implementation, requiring subclasses to provide concrete implementations.;subkind
Abstract Object;role;23;An object that has no physical form and cannot be perceived by the senses.;category
Absused Person;role;63;;None
Abusive Event;event;63;;None
Academic Instructor;kind;117;A person who teaches in a school or college.;role
Accepted;phase;125;A state signifying an idea or submission has been positively reviewed and approved.;phase
Access;relator;69;The act of retrieving data or instructions from a storage device.;relator
Access Authorized Group;role;125;A group that has been granted access authorization.;role
Access Clearance;quality;127;Authorization to access certain information or areas.;kind
Access Group;kind;103;;None
Access Point;category;103;;None
Access Policy;kind;19;A set of rules that govern access to a system or resource.;kind
Access Transport Entity;kind;103;;None
Access the Published Private Intimate Media;event;74;;None
Accessed Account;relator;69;An account that has been accessed.;phase
Accessed Private Intimate Media Object without Consent;role;74;;None
Accessible Data;role;13;Data that can be easily obtained, understood, and used by individuals or systems.;subkind
Accessing Device;role;69;A device that is being used to access something.;roleMixin
Accessor Method;subkind;108;A method used to access (get or set) the values of an object's attributes.;subkind
AccidentalParticular-NonSubstantialParticular;role;51;Particulars that are not essential to the being of a substance. For example, 'being red' is accidental to the substance 'apple.';category
AccidentalUniversal;kind;51;Universals that are not essential to the being of their particulars. For example, 'being red' is an accidental universal for 'apple'.;category
Accommodation;category;50;A place to stay, typically a hotel or other lodging.;kind
Account;relator;69;A record of financial transactions.;kind
Account Ownership;relator;125;The state of owning an account.;relator
Account Wallet;kind;93;A digital container used to store and manage cryptographic keys, enabling users to interact with a blockchain.;kind
Accountability;roleMixin;120;The ability to trace actions and changes back to specific individuals or entities.;quality
Accumulated_Precipitation;category;24;The total amount of precipitation collected over a period of time, measured in millimeters.;quantity
Accuracy;roleMixin;120;The degree to which a system's output or results conform to the correct or expected values.;quality
Acessibility;roleMixin;120;The degree to which a system is usable and accessible to people with disabilities.;quality
Acessible Digital Platform;role;74;A digital platform that can be easily accessed by users.;subkind
Acesso;subkind;81;;None
Acidente de Trânsito;relator;81;;None
Acidente de Trânsito com Atendimento;relator;81;;None
Acidente de Trânsito com Vítima;relator;81;;None
Acionista;roleMixin;81;;None
Acionista Votante;roleMixin;81;;None
Acquire information;kind;7;The process of gaining knowledge or insight within a game, often crucial for making informed decisions.;kind
Act;event;93;A single, deliberate action or step taken by an agent, potentially influencing the course of a process.;event
Acting;kind;7;The performance of a role or character, often featured in role-playing games or social deduction games.;kind
Action;event;61;A discrete, purposeful activity or task performed by an agent.;event
Action Card;kind;7;;None
Action Draft;kind;7;;None
Action Planning;kind;7;;None
Action Points;kind;7;;None
Action Profile;event;27;The range of actions and behaviors that an agent within a game is capable of performing.;kind
Action Programming;kind;7;A game mechanic where players pre-plan a sequence of actions to be executed later, often with hidden information or variable outcomes.;kind
Action based;category;7;Games where players primarily engage in taking actions that affect the game state.;kind
Active;role;95;The state of being operational or in use.;phase
Active Account;relator;69;A financial account that is currently in use.;phase
Active Agent;role;23;An agent that initiates an action or event.;roleMixin
Active Bidirectional AP;role;103;;None
Active Bidirectional PM-FEP - PM LC Connected;role;103;;None
Active Bidirectional PM-FEP - PM NC Connected;role;103;;None
Active Bidirectional Path FEP - Path NC Connected;roleMixin;103;;None
Active Car Rental Agreement;phase;96;A car rental agreement that is currently in effect.;phase
Active End Bidirectional SN-FEP;role;103;;None
Active Intermediate Bidirectional M-FP;role;103;An active bidirectional matrix forwarding point (M-FP) that is located between other M-FPs.;subkind
Active Intermediate Bidirectional SN-FP;role;103;;None
Active Path Bidirectional M-FEP;role;103;An active bidirectional matrix forwarding endpoint (M-FEP) on a path.;subkind
Active Path Bidirectional M-FP;role;103;An active bidirectional matrix forwarding point (M-FP) on a path.;subkind
Active Path Bidirectional SN-FEP;role;103;;None
Active Path Bidirectional SN-FP;role;103;An active bidirectional subnetwork forwarding point (SN-FP) on a path.;subkind
Active Possible Bi LC Connected RP;roleMixin;103;An active reference point (RP) that is connected to a possible bidirectional logical component (Bi LC).;situation
Active Sink AP;role;103;An active sink access point (AP).;subkind
Active Sk M-FEP - Sk MC connected;role;103;;None
Active Sk M-FP - Int MC connected;role;103;;None
Active Sk M-FP - Sk MC connected;role;103;;None
Active Sk PM-FEP - PM LC connected;role;103;;None
Active Sk PM-FEP - PM NC connected;role;103;;None
Active Sk Path-FEP - Path NC connected;roleMixin;103;An active Sk Path-FEP connection connected to a path network connection (NC).;situation
Active Sk SN-FEP - End CFTE connected;role;103;An active Sk SN-FEP connection connected to the end of a channel forwarding transport entity (CFTE).;situation
Active Sk SN-FEP - Sk CFTE connected;role;103;;None
Active Sk SN-FP - Int CFTE connected;role;103;;None
Active Sk SN-FP - Sk CFTE connected;role;103;;None
Active So M-FEP - So MC connected;role;103;;None
Active So M-FP - Int MC connected;role;103;;None
Active So M-FP - So MC connected;role;103;;None
Active So PM-FEP - PM LC connected;role;103;;None
Active So PM-FEP - PM NC connected;role;103;An active So PM-FEP connection connected to a physical media (PM) network connection (NC).;situation
Active So Path-FEP - Path NC connected;roleMixin;103;;None
Active So SN-FEP - End CFTE connected;role;103;An active So SN-FEP connection connected to the end of a channel forwarding transport entity (CFTE).;situation
Active So SN-FEP - So CFTE connected;role;103;;None
Active So SN-FP - Int CFTE connected;role;103;;None
Active So SN-FP - So CFTE connected;role;103;;None
Active Source AP;role;103;;None
ActiveAgent;mixin;46;An agent that is currently active.;phaseMixin
ActiveClass;phase;42;A class that is currently running.;phase
ActiveCurriculum;phase;42;A curriculum that is currently in use.;phase
ActiveIntellect;role;51;;None
ActiveOrganization;phase;46;An organization that is currently operating.;phaseMixin
ActivePotentiality;role;51;The potential to act or cause change.;subkind
ActiveProfessor;phase;42;A professor who is currently employed by the institution.;phase
ActiveStudent;role;38;A student who is actively engaged in their studies.;roleMixin
Activity;Activity;79;A thing that a person or group of people does, especially organized for a particular purpose.;kind
Activity Cost Driver;relator;114;A factor that causes a change in the cost of an activity.;kind
Activity Level;kind;114;The amount of an activity performed.;quantity
Activity Pool;subkind;114;A grouping of costs associated with a particular business activity.;kind
Activity Universal;type;83;A fundamental or abstract representation of an activity, independent of any specific domain or context.;category
Actor;category;6;An entity that can act or take part in an activity or process.;category
Actuality;relator;51;"The state of being actual or real; reality. Contrasted with potentiality in Aristotelian philosophy.";phase
Acumulation;event;31;;None
Acão;kind;100;An action or activity that is undertaken.;event
Acão Licitatória;relator;100;An action or activity related to the competitive bidding process (licitacão).;subkind
Adaptability;roleMixin;120;The ability of a system to adjust to changing conditions, environments, or user needs.;quality
Adaptation Function;kind;103;The function or purpose of an adaptation part within the system. This describes the specific task or transformation that the adaptation part performs.;roleMixin
Adaptation Sink;subkind;107;A component within the adaptation layer that acts as a sink for data or events. It suggests a modular unit responsible for sending data to a specific destination within the Sink application.;role
Adaptation Sink - A So Connected;role;103;An adaptation sink connected to an adaptation function (A) on the So connection.;situation
Adaptation Sink - T Sk Connected;role;103;;None
Adaptation Sink Input;kind;107;The input of an adaptation sink.;situation
Adaptation Sink Output;kind;103;The output of an adaptation sink. This signifies data or events that have been processed by the adaptation sink and are being sent to their final destination within the Sink application.;situation
Adaptation Sink Process;kind;103;;None
Adaptation Sk Bidirectional Component;subkind;103;A bidirectional component of an adaptation function for the Sk connection.;roleMixin
Adaptation So Bidirectional Component;subkind;103;A bidirectional component of an adaptation function for the So connection.;roleMixin
Adaptation Source;subkind;107;The endpoint of an adaptation function that sends data.;role
Adaptation Source - T So Connected;role;103;;None
Adaptation Source Input;kind;107;The input to an adaptation source. This signifies the data or events received by the adaptation source, which might come directly from a Source application or another part of the system.;situation
Adaptation Source Output;kind;107;The output of an adaptation source. This signifies the data or events that the adaptation source provides to other components in the system, likely after processing input or generating its own data.;situation
Adaptation Source Process;kind;103;;None
Address;datatype;122;The particulars of the place where someone lives or an organization is situated.;kind
Adenine;subkind;76;A purine base, one of the four bases in DNA and RNA.;subkind
Adherence Evaluation;event;98;;None
Administrative;role;58;Relating to the running of a business, organization, etc.;phaseMixin
Administrative Department;subkind;5;A department handling administrative tasks and processes.;subkind
Administrative Organization;subkind;5;An organization focused on administrative tasks, management, and support services.;subkind
Administrative Structure;kind;5;The framework defining administrative processes and hierarchy.;kind
Administrative Support;subkind;5;Activities and services that support administrative functions (clerical, organizational).;subkind
Administrative Vulnerability;subkind;19;A weakness in administrative procedures or controls that could be exploited to compromise security.;subkind
Admission Period;relator;117;A period of time during which students can apply for admission to an educational institution.;kind
Adress;datatype;121;The particulars of the place where someone lives or an organization is situated.;datatype
Adult;phase;96;A person or animal that has reached full physical and intellectual development.;subkind
Advento do Termo Contratual;relator;81;;None
Adventure;mode;22;An exciting or unusual experience as a primary element of the game.;kind
Advertência;mode;81;;None
Advisory;subkind;5;Relating to the provision of advice or consultation (role or function).;roleMixin
Advocacy;phase;47;The stage of the customer journey where satisfied customers recommend a business to others.;phase
Aerial Part;kind;70;The portion of a territory that exists in the airspace above the land and water.;subkind
Aesthetics;kind;7;;None
Aether;subkind;51;The pure, upper air that was said to be breathed by the gods. In Aristotelian physics, it's the fifth element making up celestial bodies.;kind
Affective Relationship;subkind;63;A relationship characterized by emotional bonds, such as love, hate, or friendship.;subkind
Affiliation;relator;63;;None
Affirmation;subkind;51;;None
Afiliação;relator;102;The relationship between a researcher and their institution.;relator
Ag PM - Bidirectional Termination Connected;role;103;;None
Age;quality;127;The length of time that a person has lived or a thing has existed.;quantity
Agent;agent;79;A being with the capacity to act.;category
Agent Trustee;roleMixin;12;A trustee that is an agent, such as a person or a software program.;roleMixin
Agente;subkind;81;;None
Agente Humano;kind;91;Human agent, an individual capable of independent action and decision-making.;subkind
Agente Sintético;kind;91;Synthetic agent, an artificial agent created through computational means, often with a degree of intelligence or autonomy.;subkind
Agente da ANTT;subkind;81;;None
Agente de Órgão Conveniado;subkind;81;;None
Aggregated Exchange Power;mode;41;The combined exchange power of multiple entities.;subkind
Aggregated Physical Media;collective;103;;None
Agravante;mode;81;;None
Agreed Function;relator;19;A function or service that has been agreed upon by two or more parties, such as in a contract.;role
Agressiveness;kind;7;;None
Agriculture;subkind;51;The science or practice of farming, including cultivation of the soil for the growing of crops and the rearing of animals to provide food, wool, and other products.;kind
Agência Reguladora;subkind;81;;None
Agência Reguladora Autorizatária de Obra;role;81;;None
Agência Reguladora Convenente;role;81;;None
Aims and goals;mode;126;The specific objectives a brand sets out to accomplish, often aligned with its mission and vision.;collective
Air;quantity;118;The invisible gaseous substance surrounding the earth, a mixture mainly of oxygen and nitrogen.;kind
Air Temperature;kind;14;The degree of hotness or coldness of the air.;quantity
Air_Relative_Humidity;category;24;The amount of moisture present in the air expressed as a percentage of the amount needed for saturation at the same temperature.;quantity
Airbnb;kind;50;An online marketplace for lodging, primarily homestays for vacation rentals, apartment rentals.;kind
Airbnb Reservation;subkind;50;An arrangement made in advance to stay at an Airbnb property.;subkind
Airlain;subkind;56;Likely a typo. Assuming it means 'Airline', it refers to a company that provides air transport services for traveling passengers and freight.;kind
Album;kind;46;A collection of recordings issued as a single item on CD, record, or another medium.;kind
AlbumTrack;role;46;A song or piece of music on an album.;kind
Alelle;collective;53;;None
Alerta;relator;95;Portuguese for Warning or Alert;event
Algorithm;kind;7;;None
Alimentação dupla;subkind;95;Portuguese for Dual Power;subkind
All versus one;kind;7;A game structure where all players cooperate against a single player who often has unique abilities or objectives.;kind
Alleged Human Rights Violation;phase;63;;None
Allelic Reference;role;53;A representative sequence used as a basis for comparison with other sequences of the same gene.;role
Allelic Variant;role;53;An alternative form of a gene that arises by mutation and is found at the same place on a chromosome.;subkind
Alliance;kind;7;A temporary or strategic agreement between players to cooperate, often for mutual benefit or to overcome a common opponent.;kind
Allocated Department;role;5;A department assigned to a specific area, project, or function (temporary assignment).;role
Allocated Office;role;5;An office specifically assigned to someone or something.;role
Allocation;relator;60;The action or process of allocating or distributing something.;relator
Allocation Unit;role;5;A unit of something (resources, personnel) allocated for a specific purpose.;role
Allowed Situation;role;23;A situation that is permitted or authorized by law or regulations.;situation
AlternativeFlow;mode;40;A deviation from the main flow of events in a use case, typically describing exceptional or error handling scenarios.;situation
Alínea;kind;81;;None
Alínea Composta;subkind;81;A compound paragraph.;kind
Alínea Simples;subkind;81;;None
Alínea Vetada;subkind;81;;None
Amazonia;subkind;118;The Amazon rainforest.;subkind
AmazonicRegion;category;118;A region in the Amazon rainforest.;subkind
Ambulância de Resgate;subkind;81;;None
Ambulância de Suporte Avançado;subkind;81;;None
Ambulância de Suporte Básico;subkind;81;;None
Ambulância de Transporte;subkind;81;;None
Amino Acid Type;type;76;A category of amino acids, the building blocks of proteins.;type
Amino acid;kind;76;;None
Ampliação de Capacidade;subkind;81;;None
Amusement;subkind;7;A feeling of lighthearted enjoyment and entertainment, often evoked by humorous or playful elements.;subkind
Anais de Evento;subkind;102;A published collection of papers or presentations from a scientific conference or symposium.;kind
AnalysisAndDefinition;event;92;The process of analyzing and defining something.;event
AnalysisTechnique;enumeration;85;A method or procedure for analyzing something.;kind
Analyst;role;76;A person who conducts analysis, typically of data.;role
Analyst Affiliation;relator;76;The affiliation of an analyst.;relator
Analytic;event;47;Relating to the examination and interpretation of data to extract meaningful insights.;phaseMixin
Ancient Rule;role;23;A legal rule that has been in existence for a very long time, often originating from historical sources.;subkind
Ancillary Server;subkind;5;A server providing supplementary functions to a primary server.;subkind
Ancillary Service;phase;5;A supplementary service provided in addition to the main service.;subkind
Anel Rodoviário;subkind;81;;None
Anexo;kind;81;;None
Anger;kind;7;;None
Anguish;subkind;7;An intense feeling of distress and suffering, potentially evoked in games with high stakes or emotional narratives.;subkind
Animal;category;118;A living organism belonging to the kingdom Animalia.;kind
Animal Health Inspector;subkind;5;An inspector specializing in animal health and welfare.;subkind
Animal Species;type;76;A group of closely related animals capable of interbreeding.;subkind
Annotation;datatype;105;A note of explanation or comment added to a text or diagram.;kind
Annoyance;subkind;7;A mild feeling of irritation or frustration, potentially arising from minor setbacks or repetitive gameplay elements.;subkind
Anonymous Visitor;subkind;55;A visitor to the system who is not authenticated or logged in.;role
Anotação de Responsabilidade Técnica;mode;81;;None
Answer;kind;38;A response to a question, problem, or situation.;kind
AnsweredQuestion;role;38;A question that has been answered.;subkind
Anulação;mode;81;Cancellation.;event
Anulação do Contrato;relator;81;Contract cancellation.;event
Anulled Tender;role;71;A tender that has been declared invalid.;roleMixin
Anxiety;subkind;7;A feeling of unease, worry, or fear, often induced by uncertainty, high stakes, or time pressure in games.;subkind
Aparelho de Fiscalização;kind;81;;None
AplleEndocarp;subkind;115;The innermost part of the apple, containing the seeds.;subkind
Aporte de Capital;relator;81;A capital injection.;event
Apostila;subkind;81;An apostille (an international certification comparable to a notarization).;kind
AppStore;mode;85;A digital distribution platform for mobile apps.;kind
Appetite;kind;28;A natural desire to satisfy a bodily need, especially for food or drink.;quality
Apple;kind;115;The fruit of the apple tree.;kind
AppleAspect;category;115;A particular feature or characteristic of an apple.;kind
AppleBatch;collective;115;A group of apples that are treated as a single unit.;collective
AppleColor;quality;115;The color of an apple.;quality
AppleColorSpace;datatype;115;A specific range or system for describing and measuring apple color.;quality
AppleCultivar;type;115;A specific variety of apple cultivated for its distinct characteristics.;subkind
AppleDiseaseType;type;115;A specific category or classification of apple disease.;kind
AppleDisorderType;type;115;A type or category of disorder that can affect apples.;kind
AppleDisposition;category;115;The arrangement or placement of apples.;kind
AppleEndurant;category;115;This seems like a redundant term. An apple is already an endurant (a kind). It's better to use 'Apple' directly and model its parts and qualities.;None
AppleExocarp;subkind;115;The outermost skin or rind of an apple.;subkind
AppleFeature;category;115;A distinctive attribute or aspect of an apple.;kind
AppleHandlingActivity;event;115;An activity related to the handling of apples, such as picking, sorting, or packing.;event
AppleHarvest;event;115;The act of gathering ripe apples from trees.;event
AppleLowNutritionalFactor;quality;115;A factor that contributes to low nutritional value in apples.;roleMixin
AppleNutritionalFactor;quality;115;A factor that influences the nutritional content of an apple.;roleMixin
ApplePart;category;115;A specific part or component of an apple.;kind
ApplePathogenInfectionPhotograph;subkind;115;A photograph showing the infection of an apple by a pathogen.;kind
ApplePathogenInfectionPrototypeAssignment;relator;115;Assigning a set of characteristics to a prototypical case of apple pathogen infection.;relator
ApplePathology;mode;115;A disease or disorder affecting apples.;kind
ApplePathologyEnablingFactor;mixin;115;A factor that contributes to the development of apple pathology.;roleMixin
ApplePathologyManifestation;event;115;The observable signs or symptoms of an apple pathology.;kind
ApplePathologyType;type;115;A category or kind of apple pathology.;kind
ApplePostHarvestPathologyEnablingFactor;category;115;A factor that contributes to apple pathology after harvest.;roleMixin
ApplePreHarvestPathologyEnablingFactor;category;115;A factor that can contribute to apple pathology before harvest.;roleMixin
AppleQuality;category;115;A characteristic or attribute that contributes to the overall quality of an apple.;quality
AppleQualitySpace;datatype;115;A range or system for describing and evaluating apple quality.;quality
AppleQualityState;event;115;The specific condition or state of an apple's quality.;situation
AppleStain;mode;115;A discoloration or mark on the surface of an apple.;kind
AppleStorage;event;115;The act of storing apples or the place where they are stored.;kind
AppleSubstance;category;115;Any substance that is a part of an apple.;kind
AppleSymptomManifestation;event;115;The way in which an apple symptom manifests itself.;kind
AppleSymptomType;type;115;A category or classification of symptoms observed in apple diseases.;kind
AppleSymptomsPhotograph;subkind;115;A photograph depicting symptoms observed in an apple.;kind
AppleSymptomsPrototypeAssignment;relator;115;The act of assigning a set of symptoms to a prototype for apple disease diagnosis.;relator
AppleTaste;quality;115;The flavor or taste of an apple.;quality
Appliance;kind;95;A device or piece of equipment designed to perform a specific task.;kind
Applicant;kind;117;An individual who applies for something, such as admission to a program or a job.;role
Application;relator;56;A formal request for something, typically in writing.;kind
Application System;subkind;128;A system that consists of one or more computer programs and associated data that are used to perform a specific task.;kind
Application-based;subkind;95;Related to or implemented within an application.;roleMixin
Appraiser;role;49;A person who assesses the value or quality of something.;role
Appropriate Level of Warranty;relator;95;The suitable warranty coverage for a particular product or service.;quality
Apreensão de Animais;relator;81;;None
Apreensão de Veículo;mode;81;Vehicle apprehension.;event
Apólice de Seguro;kind;81;;None
Aquisição de Permanente;relator;81;;None
Aquisição para Convênio;relator;81;Acquisition for the purpose of an agreement.;kind
Arab Country;subkind;56;A country belonging to the Arab world, sharing linguistic and cultural heritage.;subkind
AraucariasRegion;category;118;A region characterized by Araucaria trees.;subkind
Architectural Component;category;103;A fundamental building block of a software architecture.;kind
Architectural Connector;subkind;94;An element that connects and facilitates communication between architectural components.;kind
Architectural Design;event;94;The process of designing the architecture of a software system.;process
Architectural Element;subkind;94;A general term for any constituent part of a software architecture.;kind
Architectural styles;enumeration;16;Established patterns and principles for structuring software systems, guiding the organization and interaction of components.;kind
Architecture Development;event;94;The process of creating and defining the structure, behavior, and principles of a software system.;process
Archive;subkind;10;A collection of historical documents or records providing information about a place, institution, or group of people.;kind
ArchiveManaged;role;10;An archive that is being actively managed and maintained.;roleMixin
Archivist;role;10;A person whose job it is to maintain, preserve, and catalog the documents or pieces in an archive.;role
Area;quality;106;A region or part of a town, a country, or the world.;kind
Area Control;kind;7;;None
Area Enclosure;kind;7;;None
Area Movement;kind;7;;None
Area Owner;roleMixin;122;An individual or entity that owns a particular area.;roleMixin
Areas;kind;7;Distinct spaces or zones on a game board or within a game environment.;kind
Arginine;subkind;76;A semi-essential amino acid.;subkind
Argumentativeness;subkind;7;A tendency to engage in debates or disagreements, potentially influencing social dynamics and negotiation in games.;subkind
Aristocracy;subkind;51;A form of government in which power is held by the nobility.;subkind
Aristocratic;subkind;28;A form of government where power is held by a small, privileged ruling class.;subkind
Armazenamento de Dados;kind;95;Portuguese for Data Storage;kind
Arquitetura pedagógica;kind;91;Pedagogical architecture, a framework or structure for organizing and delivering educational experiences.;kind
Arrendador Financeiro;roleMixin;81;;None
Arrendador Operacional;roleMixin;81;;None
Arrendamento;relator;81;;None
Arrendamento Financeiro;relator;81;;None
Arrendamento Financeiro Imobilizado;relator;81;;None
Arrendamento Financeiro Intangível;relator;81;;None
Arrendamento Operacional;relator;81;;None
Arrival Date;datatype;50;The date on which a journey ends.;quality
Arrival Place;roleMixin;50;The place where a journey ends.;quality
Art Work;kind;44;A work of art.;kind
Artefact design;category;68;The process of designing an artifact.;kind
Article;subkind;127;A piece of writing included with others in a newspaper, magazine, or other publication.;subkind
Article component of Chapter;subkind;82;An article that is a component of a chapter.;subkind
Article component of Section;subkind;82;An article that is a component of a section.;subkind
Article composed of Item;subkind;82;An article that is composed of multiple items.;subkind
Article composed of Paragraph;subkind;82;An article that is composed of multiple paragraphs.;subkind
Artifact;roleMixin;68;A product of human workmanship, typically one of cultural or historical interest.;kind
Artifact CI;role;30;An artifact that represents a Configuration Item.;role
Artifact Change;event;83;A modification or transformation of an artifact.;event
Artifact Copy;category;30;A duplicate of an artifact.;kind
Artifact Creation;event;83;The process of creating or producing an artifact.;relator
Artifact Evaluation;event;98;The assessment of an artifact against defined criteria.;event
Artifact Participation;event;83;The involvement or utilization of an artifact in a particular activity or process.;relator
Artifact Type;type;83;A type or category of artifact.;type
Artifact Usage;event;83;The manner or way in which an artifact is utilized or employed.;relator
Artifact universal;type;68;A general or abstract representation of an artifact, independent of any specific instance.;category
