Generation;process;A process is an occurrent that unfolds in time, being characterized by the changes it brings to the world. Generation, in this context, likely refers to the process of oil formation, so it can be considered a process
Value;quality;An instance of a class stereotyped quality is a particularized property that can be understood as a value in a conceptual space. Value, in this context, could refer to a measurable characteristic such as the economic value of oil, so it can be considered a quality
Granulometry;quality;An instance of a class stereotyped quality is a particularized property that can be understood as a value in a conceptual space. Granulometry, which describes the size distribution of grains in a rock, represents a measurable property, so it can be considered a quality
Oil + Porous rock;situation;A situation is an occurrent type that is instantaneous, it represents a state of affairs, that holds or not in a given instant of time, an aggregation of other entities that characterizes a state of affairs. In this specific domain, Oil + Porous rock represents a state of affairs in which oil is contained within porous rocks, so it can be considered a situation.
Sandstone;subkind;Subkinds are rigid specializations of a kind, representing a subtype that inherits all its characteristics. Sandstone represents a specific type of rock, inheriting the characteristics of the rock kind, so it can be considered a subkind
Oil + Mudstone + Porous Rock;situation;A situation is an occurrent type that is instantaneous, it represents a state of affairs, that holds or not in a given instant of time, an aggregation of other entities that characterizes a state of affairs. In this specific domain, Oil + Mudstone + Porous Rock represents a state of affairs in which oil is contained within mudstone and porous rocks, so it can be considered a situation.
Shale;subkind;Subkinds are rigid specializations of a kind, representing a subtype that inherits all its characteristics. Shale represents a specific type of rock, inheriting the characteristics of the rock kind, so it can be considered a subkind
Migration;process;A process is an occurrent that unfolds in time, being characterized by the changes it brings to the world. Migration, in this context, likely refers to the process of oil movement, so it can be considered a process
Siliciclastic Rock;subkind;Subkinds are rigid specializations of a kind, representing a subtype that inherits all its characteristics. Siliciclastic Rock represents a specific type of rock, inheriting the characteristics of the rock kind, so it can be considered a subkind
Source Rock;subkind;Subkinds are rigid specializations of a kind, representing a subtype that inherits all its characteristics. Source Rock represents a specific type of rock, inheriting the characteristics of the rock kind, so it can be considered a subkind
Hidrocarbon;kind;A fundamental sort of endurant type, a type that provides uniform principles of individuation, identity, and persistence to its instances. Hidrocarbon, as a chemical compound, can be considered a kind, as it classifies different types of hidrocarbons
Pre-generation;phase;Phases are 'sortals whose contingent classification conditions are intrinsic'. They represent changes in intrinsic properties of instances of a kind. In this specific case, it seems to represent a phase in the formation of oil or a related substance, so it can be considered a phase
contact;situation;A situation is an occurrent type that is instantaneous, it represents a state of affairs, that holds or not in a given instant of time, an aggregation of other entities that characterizes a state of affairs. In this context, contact represents the state of affairs in which two or more geological formations are touching, so it can be considered a situation
name;inferred_stereotype;explanation
organization;kind;A fundamental sort of endurant type that represents entities like organizations. It provides principles of individuation, identity, and persistence to its instances.
storeLocation;subkind;A rigid specialization of a kind, likely specializing 'location' to represent places where stores are situated.
profileMessage;subkind;A rigid specialization of a kind, probably specializing 'post' or 'message' to represent messages specific to a user profile.
text;category;A rigid type defining essential properties of being textual content. It can be used for things like profile messages, posts, etc.
numberOfRooms;quality;Represents a measurable property (number) of an entity, likely a house or building.
neutralSport;subkind;A specialization of the kind 'sport', specifically for sports that are not season-dependent.
postalAddress;subkind;A specialization of 'address' containing details related to postal services.
kitchenAmenity;subkind;Specialization of 'amenity', referring specifically to amenities found in a kitchen.
postEditing;event;Represents the activity of modifying a post.
entertainmentAmentity;subkind;Specialization of 'amenity' for those providing entertainment purposes.
creativeWork;kind;A fundamental type representing creations like art, music, writing, etc. It has its own principles of identity and persistence.
amenitiesCollection;collective;Represents a group of amenities where each member plays an identical role in relation to the whole.
video;subkind;Specialization of 'creativeWork' or 'media', specifically for video content.
summerSport;subkind;Specialization of 'sport' for those typically played in summer.
masterStudent;role;Anti-rigid specialization of 'student' representing a specific academic role.
outdoor;category;A rigid type for entities or activities typically associated with being outdoors.
label;kind;Represents tags or categories used for organization and often applied to other entities.
appRegistration;event;The process of a user registering on an application.
sportorganizationBoard;collective;Group of people forming the governing body of a sport organization.
nearbyHouseFacilities;collective;Group of facilities positioned close to a house, each serving a distinct purpose for residents.
profileLearningLanguage;subkind;Specialization of 'language' indicating languages a user is learning.
discountAmount;quality;Measurable property, likely a numerical value, representing a price reduction.
audio;subkind;Specialization of 'creativeWork' or 'media' focused on sound content.
houseLocation;subkind;Specialization of 'location' specifically indicating where a house is situated.
postComment;subkind;Specialization of 'post' or 'comment' representing text responses to posts.
professor;role;An academic role held by a person within an educational institution.
user;role;An individual interacting with a system or platform.
bachelorStudent;role;Represents the academic role of a student pursuing a bachelor's degree.
ownProfileInteraction;subkind;Specialization of 'interaction' where a user interacts with their own profile.
profileSearch;event;The action of a user looking for specific profiles.
rating;kind;Represents a system for evaluating something, typically with stars or numerical values.
sportActivity;subkind;Specialization of 'activity' focusing on actions and events within sports.
indoor;category;Entities or activities typically associated with being inside a building or enclosed space.
sportOrganizationMember;role;Represents the role of an individual within a sports organization.
universityBoard;collective;Governing body of a university.
store;kind;A business establishment selling goods or services.
eventHostsBoard;collective;Group responsible for organizing and managing events.
date;quality;Represents a specific point or range in time.
parkArea;subkind;Specialization of 'area' for zones within a park.
school;subkind;Specialization of 'EducationalOrganization' for institutions providing primary education.
profileUserAge;quality;Measurable property indicating a profile user's age.
postDeletion;event;The action of removing a post from a system.
profileSpokenLanguage;subkind;Specialization of 'language' for those a profile user can speak.
winterSport;subkind;Specialization of 'sport' for those usually played in winter.
postInteraction;subkind;Specialization of 'interaction' related to engaging with posts.
EducationalOrganization;kind;Represents institutions focused on education and learning.
phdStudent;role;Role of a student pursuing a doctorate degree.
sportOrganization;subkind;Specialization of 'organization' for entities related to sports.
teachingAssistant;role;Individual assisting in teaching activities.
ownProfileEditing;event;The act of modifying one's own profile.
othersProfileInteraction;subkind;Engaging with profiles belonging to other users.
SportActivityPost;subkind;Specialization of 'post' about sports activities.
product;kind;Tangible or intangible items offered for sale.
profileEmail;subkind;An electronic mail address associated with a user profile.
university;subkind;Specialization of 'EducationalOrganization' providing higher education.
postCreation;event;The act of creating and publishing a post.
clothing;subkind;Garments and wearable items.
postInteractor;role;User engaging with posts.
productRegularPrice;quality;Standard price of a product.
services;kind;Actions or activities performed for a fee.
profileName;quality;A user's name displayed on their profile.
person;kind;A human being.
bathroomAmenity;subkind;Amenities in a bathroom.
ownProfileDetetion;event;The action of a user deleting their own profile.
houseNumOfOccupants;quality;Number of people living in a house.
housePrice;quality;Monetary value of a house.
pub;subkind;Establishment serving alcoholic beverages.
postRating;subkind;Ratings specifically given to posts.
locationCollection;collective;A group of locations.
productDiscount;subkind;Reduction in a product's price.
event;kind;Occurrence or happening, often time-bound.
house;subkind;Building intended for residential use.
location;kind;Geographical position or area.
postAuthor;role;Creator of a post.
profileView;event;Instance of accessing and viewing a profile.
hospital;subkind;Institution providing medical care.
profileInteractor;role;User who interacts with a profile.
sportLocation;subkind;Place where sports are played.
sportEvent;subkind;Event related to sports.
food;kind;Edible substances.
Profile;kind;Represents a user's presence and information on a platform.
bedroomAmentity;subkind;Amenities within a bedroom.
ownProfileView;event;Viewing one's own profile.
postLabeling;event;Act of adding labels to a post.
amenity;kind;Feature or service adding value to a place or experience.
post;kind;User-generated content published on a platform.
discountPost;subkind;Post specifically about discounts or sales.
image;subkind;Visual content, often a photograph.
profilePicture;subkind;Image representing a user on their profile.
housingAdPost;subkind;Post advertising housing.
postSearch;event;Action of searching for posts.
name;inferred_stereotype;explanation
Caused State;roleMixin;A 'Caused State' implies a contingent property that an entity might hold as a result of some action or event. It describes a temporary condition rather than an inherent characteristic, making 'roleMixin' suitable.
Value;mode;'Value' in this context likely signifies a specific worth, quality, or importance. This aligns with the definition of 'mode', which represents particularized properties not conceived as measurable values in a conceptual space.  It could refer to the worth of a 'Value Proposition'.
Action;event;An 'Action' signifies a discrete occurrence or happening, which aligns perfectly with the definition of an 'event' in OntoUML.
Resource;kind;A 'Resource' suggests a tangible or intangible asset with distinct identity and properties. It can exist independently, making 'kind' a suitable stereotype. Examples could include physical goods, data, or expertise.
Value Proposition;kind;A 'Value Proposition' represents a distinct offering or promise of value to a customer or beneficiary. It has its own unique attributes and can exist as a standalone concept, justifying the 'kind' stereotype. 
Intention;mode;An 'Intention' reflects a mental state or aim driving an action. As it's a particularized property not quantifiable within a conceptual space, 'mode' fits best.
Problem Solution;kind;A 'Problem Solution' represents a distinct method or approach for resolving a specific issue. It has its own unique attributes and can exist as a standalone concept, justifying the 'kind' stereotype.
Provider;role;'Provider' implies a specific function or role that an entity (likely a 'kind') performs in a given context. This aligns with the 'role' stereotype, indicating a contingent classification based on relational conditions.
Capability;mode;A 'Capability' signifies an inherent capacity or potential of an entity to perform an action. As it represents a particularized property not directly measurable, 'mode' is appropriate.
Control;subkind;Without further context, 'Control' can be interpreted as a specialized type of something more general. 'Subkind' acts as a placeholder, implying it inherits properties from a 'kind' but represents a more specific category. For instance, 'Control' could be a subkind of 'Mechanism'.
Satisfaction Level;quality;'Satisfaction Level' suggests a measurable degree or extent of contentment. This maps directly to the 'quality' stereotype, representing a particularized property with a value within a conceptual space.
Recipient;role;Similar to 'Provider', 'Recipient' signifies a specific function or role an entity assumes—the one receiving something. This relational dependency makes 'role' fitting.
name;inferred_stereotype;explanation
Competitor;role;A Competitor is an anti-rigid specialization of an Economic Agent that engages in competition within a market.
Value Proposition;kind;A Value Proposition represents a fundamental concept and acts as a distinct entity within a market, outlining the benefits offered to customers.
Direct Competitor;subkind;A Direct Competitor is a specialization of the Competitor role, indicating a more specific type of competitor within a market.
Resource;kind;Resource represents a fundamental concept and serves as a distinct entity, denoting assets or inputs utilized in economic activities.
Agent;role;Agent represents a contingent classification of an entity that performs actions or participates in interactions within a system.
Competition;relator;Competition acts as a truth-maker, establishing a relationship of rivalry among entities like competitors within a specific context.
Market Competitor;role;Market Competitor is a specialized type of Competitor role, emphasizing the competitor's participation in a specific market.
Market Competition;subkind;Market Competition represents a specific form of Competition occurring within a defined market, specializing the concept of competition.
Demand for Market;kind;Demand for Market is treated as a distinct entity representing the overall customer demand within a particular market.
Indirect Competitor;subkind;Indirect Competitor further specializes the Competitor role, indicating competitors offering alternatives but not directly competing.
Non-Competition;relator;Non-Competition serves as a truth-maker, defining a relationship of absence of rivalry between entities within a context.
Supplier;role;Supplier represents an anti-rigid specialization, indicating an entity's function of providing goods or services.
Resource Demand;kind;Resource Demand is a distinct entity, representing the need or request for specific resources within a system.
Collective Demand;subkind;Collective Demand represents a specialized form of demand, encompassing the combined demand from multiple entities.
Market;kind;Market represents a fundamental concept, signifying a distinct entity where buyers and sellers interact to exchange goods.
Resource Stock;quantity;Resource Stock represents a measurable quantity or amount of specific resources available.
Potential Competitor;role;Potential Competitor represents a possible future state of an entity that could engage in competition.
Potential Competition;subkind;Potential Competition specializes the Competition concept, signifying a possible future state of rivalry.
Supplier Capability;mode;Supplier Capability represents a property or characteristic possessed by a Supplier, influencing their ability to provide goods.
Capability;mode;Capability signifies an inherent property or characteristic of an entity, reflecting its potential to perform actions.
Composed Market;subkind;Composed Market represents a specific type of Market characterized by multiple interconnected segments or components.
Simple Market;subkind;Simple Market is a specialization of Market, signifying a basic market structure with straightforward interactions.
Resource Type;kind;Resource Type acts as a fundamental concept, classifying resources into distinct categories based on shared characteristics.
Scarce Resource;subkind;Scarce Resource represents a specific category of Resource characterized by its limited availability relative to demand.
Economic Agent;kind;Economic Agent serves as a fundamental concept, representing a distinct entity that participates in economic activities.
Single Resource;subkind;Single Resource represents a specific type of Resource that is distinct and not composed of other resources.
Equivalent Capability;subkind;Equivalent Capability represents a specific type of Capability that is comparable or similar in effect to another capability.
name;inferred_stereotype;explanation
PublicCompany;kind;A Public Company is a fundamental type of organization, representing a distinct entity with its own identity, principles of individuation, and persistence.
Organization;kind;An Organization is a fundamental type representing a structured group of people with a common purpose, distinct identity, and persistence over time.
Órgão;kind;Assuming 'Órgão' refers to a government body or entity, it represents a fundamental type with distinct identity, functions, and persistence. It signifies a unique kind of entity within a governmental or organizational structure.
NonEmpresarialPublicEntity;kind;This represents a fundamental type of public entity that is not focused on entrepreneurial activities. It has a distinct identity, purpose, and operates under specific regulations.
UnityOfOrganization;role;This likely refers to a specific function or role that an entity might hold within an organization, making it a contingent classification dependent on the organizational context.
Company;kind;A Company is a fundamental type of business organization, representing a distinct legal and economic entity with a specific purpose.
OrganizationalUnit;subkind;This represents a specialized type of organization, further defining a more specific category within the broader concept of organizations. It inherits the fundamental characteristics of an Organization but with additional, specific attributes.
Órgão Colegiado;collective;Assuming 'Órgão Colegiado' refers to a collective body or council (e.g., a board of directors), it represents a collection of individuals acting as a single unit with shared responsibilities.
Autarchy;phase;Autarchy, often referring to self-governance or independence, can represent a phase in an organization's lifecycle where it operates with a high degree of autonomy. This phase is characterized by specific intrinsic properties and may transition into other phases.
MixedEconomyCompany;subkind;This is a specialized type of company operating within a mixed economy, inheriting the fundamental characteristics of a company but with specific attributes related to its operation in a mixed economic system.
Foundation;kind;A Foundation represents a fundamental type of organization, typically non-profit, with a distinct identity, mission, and dedicated resources.
StateCompany;subkind;A State Company is a specialized type of company, owned or controlled by the state, inheriting characteristics of a company while having unique attributes due to state ownership.
PublicEntity;category;Public Entity represents a broad category encompassing entities that are related to or operate within the public sphere. It defines common characteristics and properties shared by different kinds of public entities.
PublicAdmnistrativeUnit;subkind;This represents a specialized type of public entity with administrative functions. It inherits the characteristics of a Public Entity while having additional, specific attributes related to its administrative role.
PublicOrganization;subkind;This represents a specialized type of organization operating within the public sector. It inherits characteristics from the 'Organization' kind while incorporating features specific to public entities.
name;inferred_stereotype;explanation
Artifact;kind;An Artifact represents a fundamental sort of endurant type, specifically a kind. It serves as a general concept for human-made objects with a purpose, encompassing various subtypes like 'Code,' 'Software System,' and 'Document.' Examples: A specific line of code, a software system like Linux, a physical book.
Code;subkind;Code represents a specialization of the 'Artifact' kind, indicating a more specific type of artifact that involves instructions for computers. It can be further specialized into types like 'Source Code' or 'Machine Code.' Examples: A specific function in Python, a line of assembly code.
Software System;subkind;Software System is a subkind of 'Artifact,' representing a collection of interacting software components that form a complete system. It is a specific category of artifacts designed for execution on computer hardware. Examples: The Linux kernel, a web browser like Firefox.
Program;subkind;Program is another subkind of 'Artifact' that refers to a set of instructions that a computer can execute to perform a specific task. It can be further specialized into types like 'Application Software' or 'System Software.' Examples: A text editor, a video game.
Information Item;kind;Information Item represents a fundamental type, distinct from 'Artifact,' capturing the concept of information content. It can be embodied in various forms, including 'Document' or 'Software Item.' Examples: The content of a news article, the data stored in a database.
System Specification;subkind;System Specification is a subkind of 'Information Item' that details the requirements and design of a system. It is a specific type of information focused on describing how a system should function. Examples: A document outlining the requirements for a new software feature, a diagram illustrating the architecture of a network.
Simple Artifact;subkind;Simple Artifact represents a specialization of 'Artifact' that denotes single, indivisible artifacts. It contrasts with 'Composite Artifact' and signifies artifacts that cannot be broken down further. Examples: A single physical book, a standalone script file.
Program Specification;subkind;Program Specification is a subkind of 'System Specification' that specifically describes the requirements and design of a program. It is a specialized type of information focused on defining the behavior of a program. Examples: A document outlining the expected inputs and outputs of a function, a flowchart depicting the logic of an algorithm.
Software Product;subkind;Software Product is a subkind of 'Artifact' that represents a complete software package intended for distribution and use. It encompasses all the components and documentation necessary for installation and operation. Examples: A commercial operating system like Windows, a mobile application available on an app store.
Programming Language;kind;Programming Language represents a fundamental type, distinct from 'Artifact,' encompassing the formal languages used to create programs. It defines the syntax and semantics for instructing computers. Examples: Python, Java, C++.
Model;subkind;Model is a subkind of 'Information Item' that represents a simplified representation of a system or concept. It is a specific type of information used for understanding, analysis, or communication. Examples: A UML diagram of a software system, a mathematical model of a physical phenomenon.
Software Item;subkind;Software Item is a subkind of 'Information Item' that represents information specifically related to software. It encompasses various forms of software-related content. Examples: The content of a source code file, the data structures used in a program.
Document;subkind;Document is a subkind of 'Information Item' that represents a human-readable record of information. It is a specific type of information intended for communication or storage. Examples: A text file, a PDF document.
Source Code;subkind;Source Code is a subkind of 'Code' that represents human-readable instructions written in a programming language. It is a specific type of code that is later translated into machine-executable form. Examples: A Python script, a Java class definition.
Machine Code;subkind;Machine Code is a subkind of 'Code' that represents instructions in a form that a computer can directly execute. It is the lowest-level representation of a program. Examples: A sequence of binary instructions, assembly language instructions.
Composite Artifact;subkind;Composite Artifact represents a specialization of 'Artifact' that denotes artifacts composed of multiple parts or components. It contrasts with 'Simple Artifact' and signifies artifacts with internal structure. Examples: A software system consisting of multiple modules, a book series comprising several volumes.
name;inferred_stereotype;explanation
System Requirements Specification;Artifact;A system requirements specification is a documentation artifact that describes the features and behavior of a system to be developed. 
Machine;Kind;A machine represents a fundamental kind of entity, encompassing physical or virtual devices capable of performing tasks. It serves as a foundational concept for classifying various types of machines.
Disposition;Mode;Disposition refers to a particularized property or state of an entity, representing its inherent tendency or inclination. It is a mode as it describes a characteristic that is not quantifiable or measurable on a conceptual space.
Software System;Subkind;A software system is a specialized type of system that consists of software components and represents a more specific category within the broader concept of a system.
System Component;Subkind;A system component is a constituent part of a system, representing a modular unit with specific functionality, and is a specialized type of component within a system.
Loaded Program Copy;Subkind;A loaded program copy represents a specific instance of a program that has been loaded into memory for execution, distinguishing it from the general concept of a program.
Hardware Equipment;Subkind;Hardware equipment refers to physical components of a computer system, representing a specialized category within the broader concept of equipment.
Artifact;Kind;An artifact represents a fundamental kind of entity that encompasses human-made objects or products, serving as a foundational concept for classifying various types of artifacts.
External Business Regulations;Collective;External business regulations refer to a collection of rules and guidelines imposed on an organization from external entities. It represents a collective entity as it comprises multiple individual regulations.
Stakeholder Requirements Specification;Artifact;A stakeholder requirements specification is a documentation artifact that outlines the specific requirements and expectations of stakeholders.
Stakeholder Requirement;Subkind;A stakeholder requirement is a specialized type of requirement that is specific to the needs and expectations of a stakeholder.
Program Requirement;Subkind;A program requirement is a specialized type of requirement that pertains specifically to the development or operation of a program.
System Requirement;Subkind;A system requirement is a specialized type of requirement that pertains specifically to the functionality or characteristics of a system.
Normative Description;Artifact;A normative description is a documentation artifact that provides prescriptive guidelines, standards, or rules.
Machine Assumption;Proposition;A machine assumption is a statement or belief about the characteristics or behavior of a machine.
Program Copy Execution;Process;Program copy execution represents the dynamic process of running or executing a loaded program copy, involving a series of steps and actions.
Program Specification;Artifact;A program specification is a documentation artifact that defines the requirements, design, and behavior of a program.
Stakeholder;Role;Stakeholder represents a role that an individual or group can assume in relation to a system or project. 
World Assumption;Proposition;A world assumption is a statement or belief about the external environment or context in which a system operates.
SubSystem;Subkind;A subsystem is a specialized type of system that is a smaller part of a larger system.
Business Requirement;Subkind;A business requirement is a specialized type of requirement that is derived from business needs and goals.
Business Constraint;Subkind;A business constraint is a specialized type of constraint that limits or restricts business operations or decisions.
(Internal) Business Rule;Subkind;An internal business rule is a specialized type of business rule that is specific to an organization and governs its internal operations.
Business Requirements Specification;Artifact;A business requirements specification is a documentation artifact that outlines the high-level business requirements for a system or project.
System Element;Subkind;A system element is a generic term that refers to any constituent part of a system.
Proposition;Kind;A proposition represents a fundamental kind of entity that is a statement or assertion that can be either true or false. It serves as a foundational concept for logical reasoning.
Program;Kind;A program represents a fundamental kind of entity, encompassing a set of instructions that a computer can execute.
Event;Event;An event represents a fundamental concept that occurs at a specific point in time and typically causes a change in the state of a system or process.
Agent;Role;Agent represents a role that an entity, such as a person, organization, or software system, can play by performing actions or initiating events.
Goal;Kind;A goal represents a fundamental kind of entity that is a desired state or outcome that an agent seeks to achieve.
Organization;Kind;An organization represents a fundamental kind of entity that is a structured group of people with a common purpose or goal.
name;inferred_stereotype;explanation
Air_Relative_Humidity;quality;It represents a measurable property (humidity) that can be expressed as a value within a conceptual space (percentage).
Satellite_Images;kind;Represents a fundamental type of digital image specifically obtained from satellites.
TIFF;subkind;"Represents a specialized type of digital image adhering to the TIFF format, inheriting characteristics from ""Digital_Images."""
Production_Evolution_States;phase;Represents distinct stages or periods within the process of crop production, signifying changes in the state of the crop over time.
Accumulated_Precipitation;quality;Represents a measurable property (accumulated rainfall) that can be expressed as a value (millimeters).
Percentage;kind;Represents a fundamental concept for expressing proportions as a fraction of 100.
Maximum_Temperature;quality;Represents a measurable property (highest temperature) that exists within a conceptual space (degrees Celsius).
Crop;kind;Represents a fundamental type of cultivated plant, encompassing various species grown for specific purposes.
Digital_Images;kind;Represents a fundamental type of image existing in a digital format, encompassing various subtypes like satellite images.
Degrees_Celsius;kind;Represents a fundamental unit for measuring temperature, serving as a standard for quantifying temperature values.
Geolocation;kind;Represents a fundamental concept of a point on Earth defined by coordinates.
Climate_Station;kind;Represents a fundamental type of facility specifically designed and equipped for meteorological observations and data collection.
Hours/day;kind;Represents a fundamental unit for measuring time, serving as a standard for quantifying durations.
Minimum_Temperature;quality;Represents a measurable property (lowest temperature) that can be represented as a value within a conceptual space (degrees Celsius).
NDVI_Index;quality; Represents a measurable property derived from remote sensing data, often used to assess vegetation health and density.
Milimeters;kind;Represents a fundamental unit for measuring length, widely recognized and used for quantifying distances.
Leaf_Wetting_Duration;quality;Represents a measurable property indicating the duration for which crop leaves remain wet, a factor influenced by environmental conditions.
Other_Variables;mixin;Represents a collection of properties or characteristics that might be relevant but do not fit neatly into predefined categories, allowing for flexibility in representing diverse data.
name;inferred_stereotype;explanation
Funds;kind;A Funds represents a fundamental concept, a type of entity that exists on its own and has unique instances. For example, a specific source of money set aside for a particular purpose.
Operation;kind;An Operation represents a kind, an action or set of actions undertaken to achieve a specific end. For example, a defined procedure within an archive.
Document Operated;role;Document Operated is a role that a Document plays when it is part of an Operation in an archive.
Document;kind;A Document represents a fundamental concept, a type of entity, likely a record or item of information. For example, a letter, photograph, or report within an archive.
Management;category;Management refers to a category that encompasses a set of activities like planning, organizing, controlling resources, likely related to archival practices.
Photography;subkind;Photography is a specific type of Document, therefore it is a subkind. It likely refers to photographic records within an archive.
Organization;kind;An Organization represents a kind, a structured group of people with a common purpose. For example, the institution responsible for an archive.
Archive;kind;An Archive represents a fundamental concept, a type of entity. For example, a collection of historical documents or records.
Principle of Respect for Original Order;category;Principle of Respect for Original Order  is a fundamental principle or concept within archival science, hence a category, emphasizing the importance of maintaining the original order of documents.
Operator;role;Operator refers to the role an individual plays when performing an operation. It likely refers to someone interacting with or managing the archive.
ArchiveManaged;role;An ArchiveManaged represents a role that an Archive can have, specifically the one of being managed. It depends on other entities like organizations or individuals to exist.
Individual;kind;An Individual represents a fundamental concept, a type of entity, likely referring to a person. For example, an archivist or someone interacting with the archive.
Traditional;phase;Traditional likely refers to a specific phase or characteristic of something, potentially an approach to archiving or a type of archive.
Archivist;role;Archivist represents a specific role an Individual can have, someone responsible for managing and preserving archival materials.
Collection;subkind;A Collection represents a specific type of Archive, a grouping of related materials, making it a subkind.
Digital;phase;Digital refers to a specific characteristic or phase, likely indicating a type of archive or format of archival materials.
Principle of Provenance;category;Principle of Provenance represents a fundamental principle in archival science, hence a category, emphasizing the importance of documenting the origin and custody of archival materials.
Theory of the Tree Ages;category;Theory of the Tree Ages likely represents a concept or theory, making it a category, potentially related to archival practices or organization.
name;inferred_stereotype;explanation
Artifact;kind;A fundamental type of endurant, representing a broad concept like 'Artifact'. It likely has subtypes and instances.
Reviewed CR;phase;Represents a stage in the lifecycle of a 'Change Request', indicating it has been reviewed.
Configuration Management Planning;process;Denotes a series of actions or steps taken for planning configuration management activities.
Perofrmed Specific Process;situation;Represents a state of affairs where a specific process has been executed or carried out.
Baseline Establishment;process;Describes the actions involved in establishing a baseline in configuration management.
Performed Activity;situation;A state where a particular activity has been performed or completed.
Configuration Auditor;role;Refers to the function or role of a person who conducts configuration audits.
Release Management and Delivery;process;A series of actions for managing and delivering releases of software or systems.
Deliverable Product;subkind;A specific category or type of 'Product' that is intended to be delivered.
Closed CR;phase;Represents the 'Change Request' being in a closed state, likely after resolution.
Checkin;process;The act of submitting or committing changes to a version control system or repository.
Configuration Audit Report;subkind;A type of 'Report' specifically related to a configuration audit.
Artifact CI;role;Indicates a role or relationship of an 'Artifact' to a 'Configuration Item (CI)'.
Change Implementer;role;The role of a person or entity responsible for implementing changes.
Simple Artifact;subkind;A specific category or subtype of 'Artifact', likely contrasting with a 'Composite Artifact'.
Communicate CR;process;Actions involved in communicating a 'Change Request' to stakeholders.
Object;kind;Represents a fundamental concept in object-oriented paradigms, might be too generic without further context.
Model;kind;Represents a conceptual, mathematical, or physical representation of a system or process.
Configuration Management Process;subkind;A specialized type of 'Process' specifically for managing configurations.
Configuration Manager;role;The role responsible for managing and controlling configurations.
Change Request (CR);kind;Represents the concept of a formal request for a change to be made.
Performed General Process;situation;A state where a general or non-specific process has been carried out.
Change Control;process;Actions and procedures for managing and controlling changes.
Perfomed Composite Activity;situation;Indicates a state where a complex activity composed of sub-activities has been performed.
Configuration Auditing;process;The process of systematically examining and verifying configurations.
Request Evaluation;process;Actions taken to evaluate or assess a request, such as a 'Change Request'.
Composite Artifact;subkind;An artifact made up of other artifacts, creating a hierarchical structure.
Change Requester;role;The role of the person or entity initiating a 'Change Request'.
Software Product;subkind;A specific type of 'Product' that is a software application or system.
Solved CR;phase;Represents the state of a 'Change Request' being resolved or addressed.
